"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"110037 Alto Alegre dos Parecis";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110002 Ariquemes";4;4;1932,76;1829,92;-;-;102,84;-;-;483,19;483,19;7;1,8;-;-
"110004 Cacoal";6;6;4375,30;4017,64;-;-;357,66;-;-;729,22;729,22;17;2,8;-;-
"110005 Cerejeiras";3;3;1477,57;1400,44;-;-;77,13;-;-;492,52;492,52;7;2,3;-;-
"110010 Guajará-Mirim";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;4;2,0;-;-
"110011 Jaru";3;3;1509,57;1432,44;-;-;77,13;-;-;503,19;503,19;9;3,0;-;-
"110013 Machadinho D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110014 Nova Brasilândia D'Oeste";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;6;2,0;-;-
"110015 Ouro Preto do Oeste";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"110020 Porto Velho";15;15;8461,74;8067,10;-;-;394,64;-;-;564,12;564,12;105;7,0;-;-
"110028 Rolim de Moura";1;1;55,27;43,65;-;-;11,62;-;-;55,27;55,27;-;-;-;-
"110149 São Francisco do Guaporé";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110030 Vilhena";4;4;3479,96;3173,72;-;-;306,24;-;-;869,99;869,99;16;4,0;1;25,00
"120020 Cruzeiro do Sul";2;2;998,38;946,96;-;-;51,42;-;-;499,19;499,19;5;2,5;-;-
"120033 Mâncio Lima";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"120039 Porto Walter";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"120040 Rio Branco";1;1;594,22;563,37;-;-;30,85;-;-;594,22;594,22;2;2,0;-;-
"120042 Rodrigues Alves";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"120050 Sena Madureira";3;3;1461,57;1384,44;-;-;77,13;-;-;487,19;487,19;6;2,0;-;-
"120060 Tarauacá";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;6;2,0;-;-
"120070 Xapuri";2;2;1006,38;954,96;-;-;51,42;-;-;503,19;503,19;6;3,0;-;-
"130030 Autazes";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;2;2,0;-;-
"130063 Beruri";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130120 Coari";3;3;1493,57;1416,44;-;-;77,13;-;-;497,86;497,86;13;4,3;-;-
"130190 Itacoatiara";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"130260 Manaus";94;94;50906,03;48273,44;-;-;2632,59;-;-;541,55;541,55;263;2,8;-;-
"130350 Pauini";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;10;2,5;-;-
"130380 São Gabriel da Cachoeira";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"140010 Boa Vista";8;8;5478,45;4840,17;-;-;638,28;-;-;684,81;684,81;24;3,0;-;-
"140047 Rorainópolis";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"150010 Abaetetuba";20;20;10055,80;9541,60;-;-;514,20;-;-;502,79;502,79;62;3,1;-;-
"150020 Acará";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"150030 Afuá";4;4;2012,76;1909,92;-;-;102,84;-;-;503,19;503,19;13;3,3;-;-
"150050 Almeirim";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"150060 Altamira";6;6;2971,14;2816,88;-;-;154,26;-;-;495,19;495,19;12;2,0;-;-
"150070 Anajás";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150080 Ananindeua";33;33;16149,27;15300,84;-;-;848,43;-;-;489,37;489,37;131;4,0;-;-
"150085 Anapu";5;5;2451,95;2323,40;-;-;128,55;-;-;490,39;490,39;11;2,2;-;-
"150090 Augusto Corrêa";8;8;3929,52;3723,84;-;-;205,68;-;-;491,19;491,19;24;3,0;-;-
