,Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade,data,NM_LOCALIDADE,LAT,LONG,ALT
5229,410370 Cambé,2,2,548.81,511.48,0.0,0.0,37.33,0.0,0,274.4,274.4,7,3.5,0,0.0,2018-04-01 00:01:00,CAMBÉ,-23.281632,-51.2777284423314,661.721274
5230,410390 Campina da Lagoa,6,6,3177.6,2918.06,0.0,0.0,259.54,0.0,0,529.6,529.6,18,3.0,0,0.0,2018-04-01 00:01:00,CAMPINA DA LAGOA,-24.5949565820335,-52.8135641546009,581.6242
5231,410400 Campina Grande do Sul,7,7,5285.49,5015.57,0.0,0.0,269.92,0.0,0,755.07,755.07,12,1.7,0,0.0,2018-04-01 00:01:00,CAMPINA GRANDE DO SUL,-25.303247505,-49.0534658723572,880.451991
5232,410420 Campo Largo,10,10,8695.43,7963.73,0.0,0.0,731.7,0.0,0,869.54,869.54,36,3.6,0,0.0,2018-04-01 00:01:00,CAMPO LARGO,-25.4594905,-49.5288414503356,964.214755
5233,410430 Campo Mourão,3,3,1493.57,1416.44,0.0,0.0,77.13,0.0,0,497.86,497.86,8,2.7,0,0.0,2018-04-01 00:01:00,CAMPO MOURÃO,-24.0412231967198,-52.3811150855647,597.698781
5234,410440 Cândido de Abreu,4,4,1916.76,1813.92,0.0,0.0,102.84,0.0,0,479.19,479.19,12,3.0,0,0.0,2018-04-01 00:01:00,CÂNDIDO DE ABREU,-24.5646691198961,-51.3325805083905,515.368087
5235,410460 Capitão Leônidas Marques,2,2,990.38,938.96,0.0,0.0,51.42,0.0,0,495.19,495.19,4,2.0,0,0.0,2018-04-01 00:01:00,CAPITÃO LEÔNIDAS MARQUES,-25.4794684845174,-53.6172110107619,337.892509
5236,410480 Cascavel,8,8,5357.04,5047.6,0.0,0.0,309.44,0.0,0,669.63,669.63,19,2.4,0,0.0,2018-04-01 00:01:00,CASCAVEL,-4.13143367820745,-38.2396859406771,41.481233
5237,410480 Cascavel,8,8,5357.04,5047.6,0.0,0.0,309.44,0.0,0,669.63,669.63,19,2.4,0,0.0,2018-04-01 00:01:00,CASCAVEL,-24.9537975,-53.4597221819856,769.52822
5238,410540 Chopinzinho,7,7,3481.83,3301.86,0.0,0.0,179.97,0.0,0,497.4,497.4,15,2.1,0,0.0,2018-04-01 00:01:00,CHOPINZINHO,-25.8546838487659,-52.5339602074992,698.812112
5239,410550 Cianorte,3,3,1045.65,982.61,0.0,0.0,63.04,0.0,0,348.55,348.55,5,1.7,0,0.0,2018-04-01 00:01:00,CIANORTE,-23.6538131528275,-52.6091508905561,544.613472
5240,410560 Cidade Gaúcha,8,8,3857.52,3651.84,0.0,0.0,205.68,0.0,0,482.19,482.19,16,2.0,0,0.0,2018-04-01 00:01:00,CIDADE GAÚCHA,-23.3741973865545,-52.940525149061,378.085512
5241,410570 Clevelândia,11,11,5335.09,5052.28,0.0,0.0,282.81,0.0,0,485.01,485.01,22,2.0,0,0.0,2018-04-01 00:01:00,CLEVELÂNDIA,-26.4052052933615,-52.352986201218,959.841701
5242,410590 Colorado,4,4,1966.1,1863.26,0.0,0.0,102.84,0.0,0,491.53,491.53,8,2.0,0,0.0,2018-04-01 00:01:00,COLORADO,-22.83789753,-51.9744162121383,446.034537
5243,410590 Colorado,4,4,1966.1,1863.26,0.0,0.0,102.84,0.0,0,491.53,491.53,8,2.0,0,0.0,2018-04-01 00:01:00,COLORADO,-28.5229477598944,-52.9931763194633,447.660714
5244,410640 Cornélio Procópio,3,3,1013.65,950.61,0.0,0.0,63.04,0.0,0,337.88,337.88,4,1.3,0,0.0,2018-04-01 00:01:00,CORNÉLIO PROCÓPIO,-23.1832575,-50.6514844783365,686.198624
5245,410650 Coronel Vivida,3,3,1571.52,1494.39,0.0,0.0,77.13,0.0,0,523.84,523.84,12,4.0,0,0.0,2018-04-01 00:01:00,CORONEL VIVIDA,-25.9781534980571,-52.567086635376,731.63428
5246,410690 Curitiba,90,90,58940.58,55705.77,0.0,0.0,3234.81,0.0,0,654.9,654.9,222,2.5,0,0.0,2018-04-01 00:01:00,CURITIBA,-25.432956,-49.2718478850774,910.893913
5247,410720 Dois Vizinhos,9,9,4400.71,4169.32,0.0,0.0,231.39,0.0,0,488.97,488.97,20,2.2,0,0.0,2018-04-01 00:01:00,DOIS VIZINHOS,-25.74601002,-53.0548359924348,496.667412
5248,410750 Engenheiro Beltrão,4,4,1980.76,1877.92,0.0,0.0,102.84,0.0,0,495.19,495.19,10,2.5,0,0.0,2018-04-01 00:01:00,ENGENHEIRO BELTRÃO,-23.80114407037,-52.2600351547591,485.753992
5249,410820 Formosa do Oeste,3,3,1453.57,1376.44,0.0,0.0,77.13,0.0,0,484.52,484.52,7,2.3,0,0.0,2018-04-01 00:01:00,FORMOSA DO OESTE,-24.2941972137273,-53.3161610107395,397.114107
5250,410830 Foz do Iguaçu,1,1,663.43,618.37,0.0,0.0,45.06,0.0,0,663.43,663.43,11,11.0,0,0.0,2018-04-01 00:01:00,FOZ DO IGUAÇU,-25.5424932795293,-54.5871024886047,161.684267
5251,410840 Francisco Beltrão,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,1,1.0,0,0.0,2018-04-01 00:01:00,FRANCISCO BELTRÃO,-26.07845,-53.0561357214894,554.012589
5252,410890 Guairaçá,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,7,3.5,0,0.0,2018-04-01 00:01:00,GUAIRAÇÁ,-22.9382439477033,-52.6910396163512,468.772993
5253,410930 Guaraniaçu,2,2,990.38,938.96,0.0,0.0,51.42,0.0,0,495.19,495.19,4,2.0,0,0.0,2018-04-01 00:01:00,GUARANIAÇU,-25.0986499165701,-52.8696324396125,905.906273
5254,410970 Ibaiti,4,4,1980.76,1877.92,0.0,0.0,102.84,0.0,0,495.19,495.19,8,2.0,0,0.0,2018-04-01 00:01:00,IBAITI,-23.849821485,-50.1906662735549,871.343919
5255,410980 Ibiporã,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-04-01 00:01:00,IBIPORÃ,-23.269331475,-51.0580336739701,490.272864
5256,411040 Indianópolis,2,2,974.38,922.96,0.0,0.0,51.42,0.0,0,487.19,487.19,3,1.5,0,0.0,2018-04-01 00:01:00,INDIANÓPOLIS,-19.0424949328092,-47.9179923167254,808.600329
5257,411040 Indianópolis,2,2,974.38,922.96,0.0,0.0,51.42,0.0,0,487.19,487.19,3,1.5,0,0.0,2018-04-01 00:01:00,INDIANÓPOLIS,-23.4797105011699,-52.7010569081576,468.342435
5258,411070 Irati,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,1,0.5,0,0.0,2018-04-01 00:01:00,IRATI,-25.4737362989273,-50.6580481227738,824.843015
5259,411070 Irati,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,1,0.5,0,0.0,2018-04-01 00:01:00,IRATI,-26.6572269448,-52.8950113563078,433.907706
5260,411125 Itaperuçu,29,29,14040.51,13294.92,0.0,0.0,745.59,0.0,0,484.16,484.16,58,2.0,0,0.0,2018-04-01 00:01:00,ITAPERUÇU,-25.214469525,-49.3428643436738,987.738873
5261,411130 Itaúna do Sul,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,8,4.0,0,0.0,2018-04-01 00:01:00,ITAÚNA DO SUL,-22.7268769277415,-52.8850248105017,446.813231
5262,411150 Ivaiporã,3,3,3002.58,2722.05,0.0,0.0,280.53,0.0,0,1000.86,1000.86,8,2.7,0,0.0,2018-04-01 00:01:00,IVAIPORÃ,-24.24194802,-51.6745520468117,645.32563
5263,411170 Jaboti,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,3,1.5,0,0.0,2018-04-01 00:01:00,JABOTI,-23.7357406011678,-50.0734525498615,539.948718
5264,411200 Jaguariaíva,6,6,296.57,227.59,0.0,0.0,68.98,0.0,0,49.43,49.43,11,1.8,0,0.0,2018-04-01 00:01:00,JAGUARIAÍVA,-24.2530565,-49.7121863019608,839.365602
5265,411240 Japurá,5,5,2467.95,2339.4,0.0,0.0,128.55,0.0,0,493.59,493.59,42,8.4,0,0.0,2018-04-01 00:01:00,JAPURÁ,-1.880844858703,-66.9969034946413,69.840525
5266,411240 Japurá,5,5,2467.95,2339.4,0.0,0.0,128.55,0.0,0,493.59,493.59,42,8.4,0,0.0,2018-04-01 00:01:00,JAPURÁ,-23.4685877725578,-52.5566276715464,457.081278
5267,411250 Jardim Alegre,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-04-01 00:01:00,JARDIM ALEGRE,-24.1811374455632,-51.6943350083947,665.58511
5268,411275 Jesuítas,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,1,1.0,0,0.0,2018-04-01 00:01:00,JESUÍTAS,-24.3772489097272,-53.3881148800191,470.134658
5269,411330 Laranjeiras do Sul,2,2,1006.38,954.96,0.0,0.0,51.42,0.0,0,503.19,503.19,6,3.0,0,0.0,2018-04-01 00:01:00,LARANJEIRAS DO SUL,-25.4016815101669,-52.4088474232637,839.747342
5270,411350 Loanda,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-04-01 00:01:00,LOANDA,-22.9302286218534,-53.1344689597801,488.438669
5271,411370 Londrina,17,17,8409.15,7961.71,0.0,0.0,447.44,0.0,0,494.66,494.66,52,3.1,0,0.0,2018-04-01 00:01:00,LONDRINA,-23.312156,-51.1627734238781,604.349587
5272,411375 Lunardelli,6,6,2923.14,2768.88,0.0,0.0,154.26,0.0,0,487.19,487.19,17,2.8,0,0.0,2018-04-01 00:01:00,LUNARDELLI,-24.078046360677,-51.7445483867649,576.186512
5273,411390 Mallet,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,3,3.0,0,0.0,2018-04-01 00:01:00,MALLET,-25.8737880845276,-50.8275686221384,883.408433
5274,411410 Mandaguaçu,1,1,503.19,477.48,0.0,0.0,25.71,0.0,0,503.19,503.19,3,3.0,0,0.0,2018-04-01 00:01:00,MANDAGUAÇU,-23.3427891418224,-52.0942530606026,568.599864
5275,411420 Mandaguari,4,4,1988.76,1885.92,0.0,0.0,102.84,0.0,0,497.19,497.19,9,2.3,0,0.0,2018-04-01 00:01:00,MANDAGUARI,-23.517452,-51.6812520884286,733.923923
5276,411440 Mangueirinha,6,6,3003.14,2848.88,0.0,0.0,154.26,0.0,0,500.52,500.52,16,2.7,0,0.0,2018-04-01 00:01:00,MANGUEIRINHA,-25.942981341552,-52.1763258293897,883.047123
5277,411460 Marechal Cândido Rondon,1,1,511.19,485.48,0.0,0.0,25.71,0.0,0,511.19,511.19,4,4.0,0,0.0,2018-04-01 00:01:00,MARECHAL CÂNDIDO RONDON,-24.559254495,-54.0600078164531,430.00402
5278,411500 Marilena,2,2,1006.38,954.96,0.0,0.0,51.42,0.0,0,503.19,503.19,6,3.0,0,0.0,2018-04-01 00:01:00,MARILENA,-22.7318252451306,-53.0371858842334,383.225614
5279,411520 Maringá,12,12,6863.45,6467.78,0.0,0.0,395.67,0.0,0,571.95,571.95,47,3.9,0,0.0,2018-04-01 00:01:00,MARINGÁ,-23.42228,-51.9398818702521,560.092769
5280,411540 Marmeleiro,9,9,4392.71,4161.32,0.0,0.0,231.39,0.0,0,488.08,488.08,21,2.3,0,0.0,2018-04-01 00:01:00,MARMELEIRO,-26.1486971929932,-53.0261839782571,659.595526
5281,411580 Medianeira,4,4,1550.24,1461.49,0.0,0.0,88.75,0.0,0,387.56,387.56,9,2.3,0,0.0,2018-04-01 00:01:00,MEDIANEIRA,-25.2924975,-54.0917821269221,394.970883
5282,411605 Missal,4,4,1940.76,1837.92,0.0,0.0,102.84,0.0,0,485.19,485.19,4,1.0,0,0.0,2018-04-01 00:01:00,MISSAL,-25.0911596680568,-54.2431753258264,309.79579
5283,411670 Nova Aurora,3,3,1485.57,1408.44,0.0,0.0,77.13,0.0,0,495.19,495.19,10,3.3,0,0.0,2018-04-01 00:01:00,NOVA AURORA,-24.5284853289959,-53.2575255396178,526.486634
5284,411670 Nova Aurora,3,3,1485.57,1408.44,0.0,0.0,77.13,0.0,0,495.19,495.19,10,3.3,0,0.0,2018-04-01 00:01:00,NOVA AURORA,-18.0651021012103,-48.2604579069233,709.158232
5285,411680 Nova Cantu,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,4,2.0,0,0.0,2018-04-01 00:01:00,NOVA CANTU,-24.6707788449966,-52.570992160533,473.99349
5286,411690 Nova Esperança,2,2,998.38,946.96,0.0,0.0,51.42,0.0,0,499.19,499.19,5,2.5,0,0.0,2018-04-01 00:01:00,NOVA ESPERANÇA,-14.0277228391426,-40.137541792088,228.52208
5287,411690 Nova Esperança,2,2,998.38,946.96,0.0,0.0,51.42,0.0,0,499.19,499.19,5,2.5,0,0.0,2018-04-01 00:01:00,NOVA ESPERANÇA,-15.5759682884999,-39.4099612852616,37.955084
5288,411690 Nova Esperança,2,2,998.38,946.96,0.0,0.0,51.42,0.0,0,499.19,499.19,5,2.5,0,0.0,2018-04-01 00:01:00,NOVA ESPERANÇA,-13.6017444199999,-39.6995550386312,284.030175
5289,411690 Nova Esperança,2,2,998.38,946.96,0.0,0.0,51.42,0.0,0,499.19,499.19,5,2.5,0,0.0,2018-04-01 00:01:00,NOVA ESPERANÇA,-23.1842513921502,-52.2048663633507,570.781349
5290,411722 Nova Santa Rosa,1,1,503.19,477.48,0.0,0.0,25.71,0.0,0,503.19,503.19,3,3.0,0,0.0,2018-04-01 00:01:00,NOVA SANTA ROSA,-24.4647645333137,-53.955116084308,393.195605
5291,411727 Nova Tebas,1,1,483.19,457.48,0.0,0.0,25.71,0.0,0,483.19,483.19,2,2.0,0,0.0,2018-04-01 00:01:00,NOVA TEBAS,-24.4383252111535,-51.9503961103527,626.645138
5292,411760 Palmas,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,1,1.0,0,0.0,2018-04-01 00:01:00,PALMAS,-10.1632533267928,-48.3510437082462,234.047277
5293,411760 Palmas,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,1,1.0,0,0.0,2018-04-01 00:01:00,PALMAS,-26.481472515,-51.9887738877128,1080.067956
5294,411770 Palmeira,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,1,1.0,0,0.0,2018-04-01 00:01:00,PALMEIRA,-25.4185679014664,-50.0032468209789,867.109675
5295,411770 Palmeira,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,1,1.0,0,0.0,2018-04-01 00:01:00,PALMEIRA,-27.5822620704524,-50.1590014055927,871.851873
5296,411800 Paraíso do Norte,2,2,974.38,922.96,0.0,0.0,51.42,0.0,0,487.19,487.19,4,2.0,0,0.0,2018-04-01 00:01:00,PARAÍSO DO NORTE,-23.2871611665114,-52.6035431383628,356.161623
5297,411820 Paranaguá,4,4,4512.2,4070.36,0.0,0.0,441.84,0.0,0,1128.05,1128.05,22,5.5,0,0.0,2018-04-01 00:01:00,PARANAGUÁ,-25.5068415,-48.5247328366567,7.012459
5298,411840 Paranavaí,2,2,1017.06,965.64,0.0,0.0,51.42,0.0,0,508.53,508.53,5,2.5,0,0.0,2018-04-01 00:01:00,PARANAVAÍ,-23.081879475,-52.462401669956,467.54666
5299,411850 Pato Branco,3,3,1606.22,1529.09,0.0,0.0,77.13,0.0,0,535.41,535.41,6,2.0,0,0.0,2018-04-01 00:01:00,PATO BRANCO,-26.229958515,-52.6773619976723,781.552383
5300,411890 Pérola,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,5,5.0,0,0.0,2018-04-01 00:01:00,PÉROLA,-23.7974787686894,-53.6732521304902,430.975427
5301,411910 Piên,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,1,1.0,0,0.0,2018-04-01 00:01:00,PIÊN,-26.0969563765535,-49.4282437421995,832.352219
5302,411915 Pinhais,2,2,982.38,930.96,0.0,0.0,51.42,0.0,0,491.19,491.19,7,3.5,0,0.0,2018-04-01 00:01:00,PINHAIS,-25.4421978879055,-49.1991974196099,880.640698
5303,411930 Pinhão,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-04-01 00:01:00,PINHÃO,-10.5666899531531,-37.7221107205356,250.177504
5304,411930 Pinhão,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-04-01 00:01:00,PINHÃO,-25.69629501,-51.6482701915018,1051.334841
5305,411980 Planalto,11,11,5487.09,5204.28,0.0,0.0,282.81,0.0,0,498.83,498.83,28,2.5,0,0.0,2018-04-01 00:01:00,PLANALTO,-14.6701699702495,-40.4846403764104,935.619415
5306,411980 Planalto,11,11,5487.09,5204.28,0.0,0.0,282.81,0.0,0,498.83,498.83,28,2.5,0,0.0,2018-04-01 00:01:00,PLANALTO,-21.0323282024966,-49.925719799209,436.451968
5307,411980 Planalto,11,11,5487.09,5204.28,0.0,0.0,282.81,0.0,0,498.83,498.83,28,2.5,0,0.0,2018-04-01 00:01:00,PLANALTO,-25.7121014977616,-53.770857430338,379.666388
5308,411980 Planalto,11,11,5487.09,5204.28,0.0,0.0,282.81,0.0,0,498.83,498.83,28,2.5,0,0.0,2018-04-01 00:01:00,PLANALTO,-27.3314638754662,-53.058880813139,570.376822
5309,411990 Ponta Grossa,1,1,503.19,477.48,0.0,0.0,25.71,0.0,0,503.19,503.19,3,3.0,0,0.0,2018-04-01 00:01:00,PONTA GROSSA,0.719127318713782,-50.7962690609424,14.325118
5310,411990 Ponta Grossa,1,1,503.19,477.48,0.0,0.0,25.71,0.0,0,503.19,503.19,3,3.0,0,0.0,2018-04-01 00:01:00,PONTA GROSSA,-25.092547,-50.1614420592942,955.176664
5311,412090 Quedas do Iguaçu,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-04-01 00:01:00,QUEDAS DO IGUAÇU,-25.4567808508294,-52.9098324023128,561.753433
5312,412120 Quitandinha,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,1,1.0,0,0.0,2018-04-01 00:01:00,QUITANDINHA,-25.8683083492793,-49.4966829869198,841.87797
5313,412170 Reserva,41,41,20054.79,19000.68,0.0,0.0,1054.11,0.0,0,489.14,489.14,87,2.1,1,2.44,2018-04-01 00:01:00,RESERVA,-24.651648,-50.8505958054306,933.538404
5314,412200 Rio Azul,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-04-01 00:01:00,RIO AZUL,-25.7161131774978,-50.7871729819706,856.947103
5315,412220 Rio Branco do Sul,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-04-01 00:01:00,RIO BRANCO DO SUL,-25.1901653515541,-49.3167138827683,915.291219
5316,412230 Rio Negro,5,5,2753.45,2624.9,0.0,0.0,128.55,0.0,0,550.69,550.69,12,2.4,0,0.0,2018-04-01 00:01:00,RIO NEGRO,-26.10040797,-49.7976853768382,816.818834
5317,412230 Rio Negro,5,5,2753.45,2624.9,0.0,0.0,128.55,0.0,0,550.69,550.69,12,2.4,0,0.0,2018-04-01 00:01:00,RIO NEGRO,-19.4474291073405,-54.9875023242982,253.663447
5318,412260 Rondon,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,4,4.0,0,0.0,2018-04-01 00:01:00,RONDON,-23.4126599793783,-52.7624923118905,405.016776
5319,412300 Salto do Lontra,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-04-01 00:01:00,SALTO DO LONTRA,-25.7767652429306,-53.314935101821,465.85204
5320,412310 Santa Amélia,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,6,3.0,0,0.0,2018-04-01 00:01:00,SANTA AMÉLIA,-23.2681573189206,-50.4234587703804,483.049397
5321,412350 Santa Helena,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,3,3.0,0,0.0,2018-04-01 00:01:00,SANTA HELENA,-2.23453250892676,-45.3051611932379,9.979125
5322,412350 Santa Helena,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,3,3.0,0,0.0,2018-04-01 00:01:00,SANTA HELENA,-6.71869419964293,-38.6427896706556,291.868349
5323,412350 Santa Helena,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,3,3.0,0,0.0,2018-04-01 00:01:00,SANTA HELENA,-24.8570958306367,-54.3364531522835,264.154392
5324,412350 Santa Helena,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,3,3.0,0,0.0,2018-04-01 00:01:00,SANTA HELENA,-26.9398439236403,-53.6199878739379,514.0663
5325,412370 Santa Isabel do Ivaí,4,4,1988.76,1885.92,0.0,0.0,102.84,0.0,0,497.19,497.19,12,3.0,0,0.0,2018-04-01 00:01:00,SANTA ISABEL DO IVAÍ,-23.001088809404,-53.1959475093714,396.381126
5326,412440 Santo Antônio do Sudoeste,7,7,3450.33,3270.36,0.0,0.0,179.97,0.0,0,492.9,492.9,17,2.4,0,0.0,2018-04-01 00:01:00,SANTO ANTÔNIO DO SUDOESTE,-26.0749754785585,-53.7230834338629,532.424763
5327,412460 São Carlos do Ivaí,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,3,3.0,0,0.0,2018-04-01 00:01:00,SÃO CARLOS DO IVAÍ,-23.3088474513599,-52.4771145893703,383.346459
5328,412490 São João do Caiuá,1,1,536.87,507.47,0.0,0.0,29.4,0.0,0,536.87,536.87,7,7.0,0,0.0,2018-04-01 00:01:00,SÃO JOÃO DO CAIUÁ,-22.8544043257963,-52.3397510425866,453.877767
5329,412510 São João do Triunfo,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-04-01 00:01:00,SÃO JOÃO DO TRIUNFO,-25.6918750639247,-50.3080640619123,851.987646
5330,412520 São Jorge d'Oeste,3,3,1485.57,1408.44,0.0,0.0,77.13,0.0,0,495.19,495.19,9,3.0,0,0.0,2018-04-01 00:01:00,SÃO JORGE D'OESTE,-25.714948099592,-52.9201031661411,482.568315
5331,412535 São Jorge do Patrocínio,2,2,1014.38,962.96,0.0,0.0,51.42,0.0,0,507.19,507.19,7,3.5,0,0.0,2018-04-01 00:01:00,SÃO JORGE DO PATROCÍNIO,-23.7582479652566,-53.8833305620973,348.692373
5332,412545 São José das Palmeiras,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,10,5.0,0,0.0,2018-04-01 00:01:00,SÃO JOSÉ DAS PALMEIRAS,-24.8340818673691,-54.0599182790456,523.100106
5333,412550 São José dos Pinhais,11,11,8483.11,8053.14,0.0,0.0,429.97,0.0,0,771.19,771.19,40,3.6,0,0.0,2018-04-01 00:01:00,SÃO JOSÉ DOS PINHAIS,-25.537702,-49.2000824656673,907.266426
5334,412560 São Mateus do Sul,1,1,503.19,477.48,0.0,0.0,25.71,0.0,0,503.19,503.19,3,3.0,0,0.0,2018-04-01 00:01:00,SÃO MATEUS DO SUL,-25.869599505,-50.3906242547046,764.601139
5335,412625 Sarandi,10,10,7108.53,6735.4,0.0,0.0,373.13,0.0,0,710.85,710.85,32,3.2,0,0.0,2018-04-01 00:01:00,SARANDI,-23.44317201,-51.8736820362471,585.531075
5336,412625 Sarandi,10,10,7108.53,6735.4,0.0,0.0,373.13,0.0,0,710.85,710.85,32,3.2,0,0.0,2018-04-01 00:01:00,SARANDI,-27.9435951779041,-52.9254610594471,507.385857
5337,412660 Siqueira Campos,7,7,3538.33,3358.36,0.0,0.0,179.97,0.0,0,505.48,505.48,23,3.3,0,0.0,2018-04-01 00:01:00,SIQUEIRA CAMPOS,-23.6877083827751,-49.8314969707685,633.71708
5338,412710 Telêmaco Borba,4,4,2040.24,1921.24,0.0,0.0,119.0,0.0,0,510.06,510.06,17,4.3,0,0.0,2018-04-01 00:01:00,TELÊMACO BORBA,-24.32868597,-50.6231227231312,763.973309
5339,412730 Terra Rica,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-04-01 00:01:00,TERRA RICA,-22.7243649693344,-52.6246705735779,430.33216
5340,412760 Tijucas do Sul,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-04-01 00:01:00,TIJUCAS DO SUL,-25.9201804801753,-49.1822439412764,902.373456
5341,412800 Ubiratã,5,5,2459.95,2331.4,0.0,0.0,128.55,0.0,0,491.99,491.99,8,1.6,0,0.0,2018-04-01 00:01:00,UBIRATÃ,-24.5410348849922,-52.9945060158456,517.019885
5342,412810 Umuarama,4,4,2208.86,2106.02,0.0,0.0,102.84,0.0,0,552.22,552.22,11,2.8,0,0.0,2018-04-01 00:01:00,UMUARAMA,-23.76395,-53.3084598047956,427.048453
5343,412820 União da Vitória,2,2,974.38,922.96,0.0,0.0,51.42,0.0,0,487.19,487.19,3,1.5,0,0.0,2018-04-01 00:01:00,UNIÃO DA VITÓRIA,-26.2284345,-51.0906095229867,755.196771
5344,412860 Verê,4,4,1964.76,1861.92,0.0,0.0,102.84,0.0,0,491.19,491.19,8,2.0,0,0.0,2018-04-01 00:01:00,VERÊ,-25.8806316035548,-52.9085930798312,486.70444
5345,412850 Wenceslau Braz,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-04-01 00:01:00,WENCESLAU BRAZ,-22.5290130396557,-45.3567739530528,997.665687
5346,412850 Wenceslau Braz,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-04-01 00:01:00,WENCESLAU BRAZ,-23.8704228528497,-49.80298478237,827.295687
5347,420010 Abelardo Luz,5,5,2419.95,2291.4,0.0,0.0,128.55,0.0,0,483.99,483.99,6,1.2,0,0.0,2018-04-01 00:01:00,ABELARDO LUZ,-26.5630310224446,-52.3364823833236,724.987143
5348,420040 Água Doce,4,4,1940.76,1837.92,0.0,0.0,102.84,0.0,0,485.19,485.19,9,2.3,0,0.0,2018-04-01 00:01:00,ÁGUA DOCE,-27.0040916588601,-51.5590965552946,806.108487
5349,420140 Araranguá,3,3,1512.25,1435.12,0.0,0.0,77.13,0.0,0,504.08,504.08,13,4.3,0,0.0,2018-04-01 00:01:00,ARARANGUÁ,-28.9357520142005,-49.480966523633,14.855511
5350,420240 Blumenau,3,3,2047.33,1950.93,0.0,0.0,96.4,0.0,0,682.44,682.44,9,3.0,0,0.0,2018-04-01 00:01:00,BLUMENAU,-26.9161077053067,-49.0576308843612,23.426259
5351,420290 Brusque,1,1,488.53,462.82,0.0,0.0,25.71,0.0,0,488.53,488.53,2,2.0,0,0.0,2018-04-01 00:01:00,BRUSQUE,-27.0983102262107,-48.9151630055153,24.649214
5352,420340 Campo Belo do Sul,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-04-01 00:01:00,CAMPO BELO DO SUL,-27.8966573872665,-50.7619937519385,999.330917
