,Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade,data,NM_LOCALIDADE,LAT,LONG,ALT
27,130260 Manaus,44,44,23396.65,22174.17,0.0,0.0,1222.48,0.0,0,531.74,531.74,116,2.6,0,0.0,2018-01-01 00:01:00,MANAUS,-3.13469149120195,-60.023335181061,34.356331
28,130290 Maués,2,2,974.38,922.96,0.0,0.0,51.42,0.0,0,487.19,487.19,3,1.5,0,0.0,2018-01-01 00:01:00,MAUÉS,-3.38642792621106,-57.7150343867525,24.058942
29,130340 Parintins,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,6,3.0,0,0.0,2018-01-01 00:01:00,PARINTINS,-2.62705258583723,-56.7362921451951,17.327756
30,130390 São Paulo de Olivença,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,1,1.0,0,0.0,2018-01-01 00:01:00,SÃO PAULO DE OLIVENÇA,-3.46650962349132,-68.9448534881358,86.623249
31,130395 São Sebastião do Uatumã,1,1,503.19,477.48,0.0,0.0,25.71,0.0,0,503.19,503.19,3,3.0,0,0.0,2018-01-01 00:01:00,SÃO SEBASTIÃO DO UATUMÃ,-2.57015257967785,-57.8703463558346,16.938658
32,140010 Boa Vista,7,7,14281.89,12472.24,0.0,0.0,1809.65,0.0,0,2040.27,2040.27,30,4.3,0,0.0,2018-01-01 00:01:00,BOA VISTA,2.81668191910439,-60.6705326729651,79.828228
33,140010 Boa Vista,7,7,14281.89,12472.24,0.0,0.0,1809.65,0.0,0,2040.27,2040.27,30,4.3,0,0.0,2018-01-01 00:01:00,BOA VISTA,-7.25791308057967,-36.2353736587535,489.437335
34,140010 Boa Vista,7,7,14281.89,12472.24,0.0,0.0,1809.65,0.0,0,2040.27,2040.27,30,4.3,0,0.0,2018-01-01 00:01:00,BOA VISTA,-14.7815371283295,-40.4925779432287,974.562096
35,140010 Boa Vista,7,7,14281.89,12472.24,0.0,0.0,1809.65,0.0,0,2040.27,2040.27,30,4.3,0,0.0,2018-01-01 00:01:00,BOA VISTA,-11.9987076729171,-37.8551016369828,124.019201
36,140010 Boa Vista,7,7,14281.89,12472.24,0.0,0.0,1809.65,0.0,0,2040.27,2040.27,30,4.3,0,0.0,2018-01-01 00:01:00,BOA VISTA,-18.7457595940065,-47.054247200472,926.444837
37,140015 Bonfim,1,1,55.27,43.65,0.0,0.0,11.62,0.0,0,55.27,55.27,1,1.0,0,0.0,2018-01-01 00:01:00,BONFIM,3.35028861911032,-59.8780066289099,86.647022
38,140015 Bonfim,1,1,55.27,43.65,0.0,0.0,11.62,0.0,0,55.27,55.27,1,1.0,0,0.0,2018-01-01 00:01:00,BONFIM,-17.8661032294918,-42.3126739359261,446.982579
39,140015 Bonfim,1,1,55.27,43.65,0.0,0.0,11.62,0.0,0,55.27,55.27,1,1.0,0,0.0,2018-01-01 00:01:00,BONFIM,-20.3254910996075,-44.232911084905,949.997098
40,140047 Rorainópolis,1,1,47.27,35.65,0.0,0.0,11.62,0.0,0,47.27,47.27,1,1.0,0,0.0,2018-01-01 00:01:00,RORAINÓPOLIS,0.937195393597556,-60.4250604939819,83.796679
41,150010 Abaetetuba,20,20,10087.8,9573.6,0.0,0.0,514.2,0.0,0,504.39,504.39,63,3.1,0,0.0,2018-01-01 00:01:00,ABAETETUBA,-1.72346986284591,-48.8844038207231,10.120343
42,150013 Abel Figueiredo,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-01-01 00:01:00,ABEL FIGUEIREDO,-4.9513908955313,-48.3967621257945,192.756651
