"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;3;1,5;-;-
"110037 Alto Alegre dos Parecis";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;9;3,0;-;-
"110002 Ariquemes";12;12;5862,28;5553,76;-;-;308,52;-;-;488,52;488,52;26;2,2;-;-
"110004 Cacoal";7;7;3570,74;3390,77;-;-;179,97;-;-;510,11;510,11;18;2,6;-;-
"110070 Campo Novo de Rondônia";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;5;5,0;-;-
"110005 Cerejeiras";5;5;2467,95;2339,40;-;-;128,55;-;-;493,59;493,59;12;2,4;-;-
"110006 Colorado do Oeste";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;7;2,3;-;-
"110010 Guajará-Mirim";4;4;1964,76;1861,92;-;-;102,84;-;-;491,19;491,19;10;2,5;-;-
"110011 Jaru";4;4;1524,84;1436,09;-;-;88,75;-;-;381,21;381,21;9;2,3;-;-
"110012 Ji-Paraná";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;6;3,0;-;-
"110013 Machadinho D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110130 Mirante da Serra";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110014 Nova Brasilândia D'Oeste";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;16;4,0;-;-
"110015 Ouro Preto do Oeste";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"110018 Pimenta Bueno";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;2;1,0;-;-
"110020 Porto Velho";7;7;25371,09;22324,50;-;-;3046,59;-;-;3624,44;3624,44;62;8,9;1;14,29
"110025 Presidente Médici";2;2;547,41;510,82;-;-;36,59;-;-;273,70;273,70;5;2,5;-;-
"110028 Rolim de Moura";6;6;2539,22;2399,05;-;-;140,17;-;-;423,20;423,20;12;2,0;-;-
"110029 Santa Luzia D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110149 São Francisco do Guaporé";2;2;966,38;914,96;-;-;51,42;-;-;483,19;483,19;4;2,0;-;-
"110030 Vilhena";1;1;515,89;490,18;-;-;25,71;-;-;515,89;515,89;3;3,0;-;-
"120005 Assis Brasil";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;5;5,0;-;-
"120020 Cruzeiro do Sul";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"120040 Rio Branco";2;2;994,40;942,98;-;-;51,42;-;-;497,20;497,20;7;3,5;-;-
"120060 Tarauacá";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;7;3,5;-;-
"130006 Amaturá";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"130010 Anori";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"130050 Barreirinha";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"130068 Boa Vista do Ramos";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"130070 Boca do Acre";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130080 Borba";1;1;559,19;533,48;-;-;25,71;-;-;559,19;559,19;10;10,0;-;-
"130090 Canutama";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130120 Coari";2;2;998,38;946,96;-;-;51,42;-;-;499,19;499,19;5;2,5;-;-
"130230 Jutaí";5;5;2475,95;2347,40;-;-;128,55;-;-;495,19;495,19;10;2,0;-;-
"130250 Manacapuru";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;-;-;-;-
"130260 Manaus";84;84;44650,30;42327,55;-;-;2322,75;-;-;531,55;531,55;294;3,5;-;-
"130290 Maués";6;6;2955,14;2800,88;-;-;154,26;-;-;492,52;492,52;19;3,2;-;-
"130340 Parintins";6;6;2875,14;2720,88;-;-;154,26;-;-;479,19;479,19;19;3,2;-;-
"130380 São Gabriel da Cachoeira";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;7;7,0;-;-
"130430 Urucará";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;2;2,0;-;-
"140010 Boa Vista";6;6;2620,93;2470,44;-;-;150,49;-;-;436,82;436,82;13;2,2;-;-
"150010 Abaetetuba";16;16;8091,04;7679,68;-;-;411,36;-;-;505,69;505,69;53;3,3;-;-
"150020 Acará";3;3;1493,57;1416,44;-;-;77,13;-;-;497,86;497,86;7;2,3;-;-
"150030 Afuá";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;4;2,0;-;-
"150040 Alenquer";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"150060 Altamira";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150070 Anajás";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;6;2,0;-;-
"150080 Ananindeua";36;36;17642,84;16717,28;-;-;925,56;-;-;490,08;490,08;113;3,1;-;-
"150090 Augusto Corrêa";9;9;4408,71;4177,32;-;-;231,39;-;-;489,86;489,86;27;3,0;-;-
"150095 Aurora do Pará";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;10;2,5;-;-
"150120 Baião";3;3;1557,57;1480,44;-;-;77,13;-;-;519,19;519,19;15;5,0;-;-
"150140 Belém";101;101;57017,33;54090,38;-;-;2926,95;-;-;564,53;564,53;339;3,4;-;-
"150157 Bom Jesus do Tocantins";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150170 Bragança";6;6;8693,02;7822,06;-;-;870,96;-;-;1448,84;1448,84;45;7,5;-;-
"150172 Brasil Novo";12;12;5886,28;5577,76;-;-;308,52;-;-;490,52;490,52;26;2,2;-;-
