"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;5;2,5;-;-
"110034 Alvorada D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110002 Ariquemes";7;7;2646,51;2494,72;-;-;151,79;-;-;378,07;378,07;16;2,3;-;-
"110004 Cacoal";10;10;5016,31;4759,21;-;-;257,10;-;-;501,63;501,63;50;5,0;-;-
"110005 Cerejeiras";5;5;2579,18;2397,99;-;-;181,19;-;-;515,84;515,84;14;2,8;-;-
"110006 Colorado do Oeste";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"110008 Costa Marques";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"110011 Jaru";3;3;1093,65;1030,61;-;-;63,04;-;-;364,55;364,55;11;3,7;-;-
"110012 Ji-Paraná";2;2;977,43;926,01;-;-;51,42;-;-;488,72;488,72;8;4,0;-;-
"110013 Machadinho D'Oeste";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;5;2,5;-;-
"110130 Mirante da Serra";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110014 Nova Brasilândia D'Oeste";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"110015 Ouro Preto do Oeste";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"110020 Porto Velho";8;8;4218,08;3989,18;-;-;228,90;-;-;527,26;527,26;44;5,5;-;-
"110025 Presidente Médici";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"110028 Rolim de Moura";5;5;2199,41;2020,43;-;-;178,98;-;-;439,88;439,88;11;2,2;-;-
"110032 São Miguel do Guaporé";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;3;1,5;-;-
"110030 Vilhena";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"120020 Cruzeiro do Sul";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;5;5,0;-;-
"120030 Feijó";1;1;47,27;35,65;-;-;11,62;-;-;47,27;47,27;2;2,0;-;-
"120045 Senador Guiomard";2;2;999,72;948,30;-;-;51,42;-;-;499,86;499,86;4;2,0;-;-
"120060 Tarauacá";3;3;1493,57;1416,44;-;-;77,13;-;-;497,86;497,86;7;2,3;-;-
"120070 Xapuri";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"130006 Amaturá";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;5;5,0;-;-
"130014 Apuí";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
