"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;9;2,3;-;-
"110037 Alto Alegre dos Parecis";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;64;64,0;-;-
"110002 Ariquemes";1;1;55,27;43,65;-;-;11,62;-;-;55,27;55,27;1;1,0;-;-
"110004 Cacoal";11;11;5391,09;5108,28;-;-;282,81;-;-;490,10;490,10;23;2,1;-;-
"110005 Cerejeiras";3;3;1453,57;1376,44;-;-;77,13;-;-;484,52;484,52;6;2,0;-;-
"110006 Colorado do Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"110008 Costa Marques";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110010 Guajará-Mirim";5;5;2175,89;2046,54;-;-;129,35;-;-;435,18;435,18;31;6,2;-;-
"110011 Jaru";1;1;44,22;33,34;-;-;10,88;-;-;44,22;44,22;1;1,0;-;-
"110013 Machadinho D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110014 Nova Brasilândia D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110018 Pimenta Bueno";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;2;1,0;-;-
"110020 Porto Velho";4;4;20332,14;17894,77;-;-;2437,37;-;-;5083,03;5083,03;38;9,5;1;25,00
"110026 Rio Crespo";1;1;55,27;43,65;-;-;11,62;-;-;55,27;55,27;1;1,0;-;-
"110028 Rolim de Moura";3;3;1445,57;1368,44;-;-;77,13;-;-;481,86;481,86;4;1,3;-;-
"110032 São Miguel do Guaporé";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;5;5,0;-;-
"110030 Vilhena";4;4;2050,71;1947,87;-;-;102,84;-;-;512,68;512,68;12;3,0;-;-
"120039 Porto Walter";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"120040 Rio Branco";1;1;1194,59;1106,96;-;-;87,63;-;-;1194,59;1194,59;23;23,0;1;100,00
"120060 Tarauacá";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"130006 Amaturá";4;4;1956,76;1853,92;-;-;102,84;-;-;489,19;489,19;10;2,5;-;-
"130010 Anori";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130068 Boa Vista do Ramos";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;3;3,0;-;-
"130080 Borba";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"130120 Coari";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"130140 Eirunepé";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130170 Humaitá";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130250 Manacapuru";1;1;519,19;493,48;-;-;25,71;-;-;519,19;519,19;5;5,0;-;-
"130260 Manaus";53;53;27172,76;25755,56;-;-;1417,20;-;-;512,69;512,69;116;2,2;-;-
"130270 Manicoré";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"130280 Maraã";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"130340 Parintins";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130395 São Sebastião do Uatumã";2;2;1006,38;954,96;-;-;51,42;-;-;503,19;503,19;6;3,0;-;-
"130400 Silves";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"130430 Urucará";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"140010 Boa Vista";4;4;785,63;719,92;-;-;65,71;-;-;196,41;196,41;8;2,0;-;-
"140015 Bonfim";1;1;55,27;43,65;-;-;11,62;-;-;55,27;55,27;1;1,0;-;-
"140047 Rorainópolis";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150010 Abaetetuba";15;15;7611,85;7226,20;-;-;385,65;-;-;507,46;507,46;53;3,5;-;-
"150030 Afuá";2;2;998,38;946,96;-;-;51,42;-;-;499,19;499,19;5;2,5;-;-
"150050 Almeirim";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;6;2,0;-;-
"150060 Altamira";1;1;522,34;481,48;-;-;40,86;-;-;522,34;522,34;1;1,0;1;100,00
"150070 Anajás";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;4;2,0;-;-
"150080 Ananindeua";24;24;11882,51;11265,47;-;-;617,04;-;-;495,10;495,10;83;3,5;-;-
"150085 Anapu";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150090 Augusto Corrêa";6;6;2931,14;2776,88;-;-;154,26;-;-;488,52;488,52;18;3,0;-;-
"150120 Baião";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;6;2,0;-;-
"150130 Barcarena";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"150140 Belém";35;35;20082,32;18941,61;-;-;1140,71;-;-;573,78;573,78;121;3,5;-;-
"150172 Brasil Novo";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;32;32,0;-;-
"150178 Breu Branco";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;5;2,5;-;-
"150180 Breves";3;3;1469,57;1392,44;-;-;77,13;-;-;489,86;489,86;3;1,0;-;-
"150190 Bujaru";24;24;12211,79;11542,11;-;-;669,68;-;-;508,82;508,82;76;3,2;-;-
"150220 Capanema";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150230 Capitão Poço";3;3;1469,57;1392,44;-;-;77,13;-;-;489,86;489,86;11;3,7;-;-
