"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";7;7;3474,33;3294,36;-;-;179,97;-;-;496,33;496,33;19;2,7;1;14,29
"110037 Alto Alegre dos Parecis";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110040 Alto Paraíso";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"110034 Alvorada D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110002 Ariquemes";10;10;4919,90;4662,80;-;-;257,10;-;-;491,99;491,99;27;2,7;-;-
"110045 Buritis";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;5;2,5;-;-
"110004 Cacoal";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;4;1,0;-;-
"110070 Campo Novo de Rondônia";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110005 Cerejeiras";3;3;1461,57;1384,44;-;-;77,13;-;-;487,19;487,19;7;2,3;-;-
"110006 Colorado do Oeste";8;8;3841,52;3635,84;-;-;205,68;-;-;480,19;480,19;19;2,4;-;-
"110008 Costa Marques";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;2;1,0;-;-
"110010 Guajará-Mirim";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;3;3,0;-;-
"110011 Jaru";3;3;1045,65;982,61;-;-;63,04;-;-;348,55;348,55;5;1,7;-;-
"110012 Ji-Paraná";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;3;1,5;-;-
"110014 Nova Brasilândia D'Oeste";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;12;4,0;-;-
"110015 Ouro Preto do Oeste";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"110020 Porto Velho";9;9;4918,80;4687,41;-;-;231,39;-;-;546,53;546,53;80;8,9;-;-
"110025 Presidente Médici";1;1;582,42;504,07;-;-;78,35;-;-;582,42;582,42;1;1,0;-;-
"110028 Rolim de Moura";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;4;2,0;-;-
"110029 Santa Luzia D'Oeste";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;3;3,0;-;-
"110030 Vilhena";5;5;2113,39;1998,93;-;-;114,46;-;-;422,68;422,68;14;2,8;-;-
"120020 Cruzeiro do Sul";2;2;1065,89;1014,47;-;-;51,42;-;-;532,95;532,95;7;3,5;-;-
"120038 Plácido de Castro";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"120043 Santa Rosa do Purus";1;1;55,27;43,65;-;-;11,62;-;-;55,27;55,27;1;1,0;-;-
"120050 Sena Madureira";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"120045 Senador Guiomard";1;1;499,86;474,15;-;-;25,71;-;-;499,86;499,86;2;2,0;-;-
"120060 Tarauacá";3;3;1066,60;1004,30;-;-;62,30;-;-;355,53;355,53;8;2,7;-;-
"120070 Xapuri";2;2;1038,38;986,96;-;-;51,42;-;-;519,19;519,19;10;5,0;-;-
"130006 Amaturá";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;9;4,5;-;-
"130010 Anori";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"130050 Barreirinha";2;2;1006,38;954,96;-;-;51,42;-;-;503,19;503,19;6;3,0;-;-
"130068 Boa Vista do Ramos";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"130090 Canutama";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;9;3,0;-;-
"130180 Ipixuna";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"130190 Itacoatiara";2;2;1014,38;962,96;-;-;51,42;-;-;507,19;507,19;7;3,5;-;-
"130230 Jutaí";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;6;2,0;-;-
"130260 Manaus";37;37;23148,77;21697,20;-;-;1451,57;-;-;625,64;625,64;155;4,2;-;-
"130290 Maués";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;9;3,0;-;-
"130400 Silves";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130420 Tefé";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;5;2,5;-;-
"140010 Boa Vista";9;9;6497,25;6083,73;-;-;413,52;-;-;721,92;721,92;66;7,3;-;-
"140015 Bonfim";2;2;99,49;76,99;-;-;22,50;-;-;49,75;49,75;2;1,0;-;-
"150010 Abaetetuba";17;17;8602,23;8165,16;-;-;437,07;-;-;506,01;506,01;57;3,4;-;-
"150020 Acará";2;2;1022,38;970,96;-;-;51,42;-;-;511,19;511,19;9;4,5;-;-
"150030 Afuá";2;2;1014,38;962,96;-;-;51,42;-;-;507,19;507,19;7;3,5;-;-
"150040 Alenquer";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150050 Almeirim";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150070 Anajás";6;6;2931,14;2776,88;-;-;154,26;-;-;488,52;488,52;11;1,8;-;-
"150080 Ananindeua";22;22;10774,18;10208,56;-;-;565,62;-;-;489,74;489,74;70;3,2;-;-
"150085 Anapu";3;3;1501,57;1424,44;-;-;77,13;-;-;500,52;500,52;8;2,7;-;-
"150090 Augusto Corrêa";11;11;5431,09;5148,28;-;-;282,81;-;-;493,74;493,74;36;3,3;-;-
"150095 Aurora do Pará";3;3;1453,57;1376,44;-;-;77,13;-;-;484,52;484,52;6;2,0;-;-
"150120 Baião";7;7;3466,33;3286,36;-;-;179,97;-;-;495,19;495,19;14;2,0;-;-
"150130 Barcarena";1;1;598,42;520,07;-;-;78,35;-;-;598,42;598,42;2;2,0;-;-
"150140 Belém";88;88;46566,84;44206,96;-;-;2359,88;-;-;529,17;529,17;346;3,9;-;-
"150157 Bom Jesus do Tocantins";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150170 Bragança";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;3;3,0;-;-
"150172 Brasil Novo";4;4;1988,76;1885,92;-;-;102,84;-;-;497,19;497,19;9;2,3;-;-
"150180 Breves";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"150190 Bujaru";23;23;11573,37;10982,04;-;-;591,33;-;-;503,19;503,19;69;3,0;-;-
"150220 Capanema";1;1;533,14;507,43;-;-;25,71;-;-;533,14;533,14;2;2,0;-;-
"150230 Capitão Poço";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;13;4,3;-;-
"150240 Castanhal";30;30;16399,10;15144,79;-;-;1254,31;-;-;546,64;546,64;135;4,5;-;-
"150270 Conceição do Araguaia";33;33;16693,27;15844,84;-;-;848,43;-;-;505,86;505,86;110;3,3;-;-
"150275 Concórdia do Pará";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;11;3,7;-;-
"150277 Curionópolis";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;2;1,0;-;-
"150280 Curralinho";6;6;2979,14;2824,88;-;-;154,26;-;-;496,52;496,52;13;2,2;-;-
"150290 Curuçá";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"150293 Dom Eliseu";3;3;1493,57;1416,44;-;-;77,13;-;-;497,86;497,86;7;2,3;-;-
"150295 Eldorado do Carajás";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150309 Goianésia do Pará";7;7;3450,33;3270,36;-;-;179,97;-;-;492,90;492,90;30;4,3;-;-
"150310 Gurupá";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;4;2,0;-;-
"150320 Igarapé-Açu";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150330 Igarapé-Miri";11;11;5527,09;5244,28;-;-;282,81;-;-;502,46;502,46;32;2,9;-;-
"150345 Ipixuna do Pará";2;2;998,38;946,96;-;-;51,42;-;-;499,19;499,19;5;2,5;-;-
"150350 Irituia";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"150375 Jacareacanga";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"150380 Jacundá";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;12;4,0;-;-
"150400 Limoeiro do Ajuru";16;16;8001,50;7484,86;-;-;516,64;-;-;500,09;500,09;34;2,1;-;-
"150405 Mãe do Rio";5;5;2515,95;2387,40;-;-;128,55;-;-;503,19;503,19;15;3,0;-;-
