"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";3;3;1525,57;1448,44;-;-;77,13;-;-;508,52;508,52;13;4,3;-;-
"110037 Alto Alegre dos Parecis";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;12;3,0;-;-
"110040 Alto Paraíso";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110034 Alvorada D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110002 Ariquemes";5;5;2475,95;2347,40;-;-;128,55;-;-;495,19;495,19;10;2,0;-;-
"110004 Cacoal";8;8;3857,52;3651,84;-;-;205,68;-;-;482,19;482,19;12;1,5;-;-
"110005 Cerejeiras";4;4;1996,76;1893,92;-;-;102,84;-;-;499,19;499,19;10;2,5;-;-
"110006 Colorado do Oeste";5;5;2427,95;2299,40;-;-;128,55;-;-;485,59;485,59;25;5,0;-;-
"110008 Costa Marques";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"110010 Guajará-Mirim";2;2;998,38;946,96;-;-;51,42;-;-;499,19;499,19;6;3,0;-;-
"110011 Jaru";3;3;1029,65;966,61;-;-;63,04;-;-;343,22;343,22;5;1,7;-;-
"110012 Ji-Paraná";3;3;1450,27;1373,14;-;-;77,13;-;-;483,42;483,42;8;2,7;-;-
"110014 Nova Brasilândia D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110033 Nova Mamoré";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;5;2,5;-;-
"110018 Pimenta Bueno";7;7;3386,33;3206,36;-;-;179,97;-;-;483,76;483,76;7;1,0;-;-
