"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";5;5;2499,95;2371,40;-;-;128,55;-;-;499,99;499,99;15;3,0;-;-
"110037 Alto Alegre dos Parecis";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110034 Alvorada D'Oeste";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;7;3,5;-;-
"110002 Ariquemes";8;8;3905,52;3699,84;-;-;205,68;-;-;488,19;488,19;17;2,1;-;-
"110004 Cacoal";6;6;3522,27;3300,21;-;-;222,06;-;-;587,04;587,04;19;3,2;-;-
"110005 Cerejeiras";10;10;4887,90;4630,80;-;-;257,10;-;-;488,79;488,79;25;2,5;-;-
"110006 Colorado do Oeste";2;2;966,38;914,96;-;-;51,42;-;-;483,19;483,19;6;3,0;-;-
"110094 Cujubim";2;2;961,74;902,94;-;-;58,80;-;-;480,87;480,87;2;1,0;-;-
"110010 Guajará-Mirim";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;6;3,0;-;-
"110011 Jaru";4;4;1100,92;1026,26;-;-;74,66;-;-;275,23;275,23;6;1,5;-;-
"110012 Ji-Paraná";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"110014 Nova Brasilândia D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110018 Pimenta Bueno";2;2;1026,40;974,98;-;-;51,42;-;-;513,20;513,20;5;2,5;-;-
"110020 Porto Velho";7;7;3619,38;3430,42;-;-;188,96;-;-;517,05;517,05;23;3,3;-;-
"110025 Presidente Médici";1;1;488,87;459,47;-;-;29,40;-;-;488,87;488,87;2;2,0;-;-
"110028 Rolim de Moura";2;2;539,41;502,82;-;-;36,59;-;-;269,70;269,70;2;1,0;-;-
"110032 São Miguel do Guaporé";3;3;1469,57;1392,44;-;-;77,13;-;-;489,86;489,86;4;1,3;-;-
"110030 Vilhena";2;2;587,41;550,82;-;-;36,59;-;-;293,71;293,71;8;4,0;-;-
"120020 Cruzeiro do Sul";1;1;366,35;335,02;-;-;31,33;-;-;366,35;366,35;2;2,0;-;-
"120038 Plácido de Castro";6;6;2907,14;2752,88;-;-;154,26;-;-;484,52;484,52;17;2,8;-;-
"120040 Rio Branco";2;2;1014,38;962,96;-;-;51,42;-;-;507,19;507,19;7;3,5;-;-
"120050 Sena Madureira";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;5;5,0;-;-
"120045 Senador Guiomard";1;1;620,43;542,08;-;-;78,35;-;-;620,43;620,43;3;3,0;-;-
"120060 Tarauacá";3;3;1501,57;1424,44;-;-;77,13;-;-;500,52;500,52;8;2,7;-;-
"120070 Xapuri";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"130010 Anori";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"130080 Borba";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"130260 Manaus";68;68;35509,87;33660,18;-;-;1849,69;-;-;522,20;522,20;189;2,8;-;-
"130290 Maués";5;5;2475,95;2347,40;-;-;128,55;-;-;495,19;495,19;11;2,2;-;-
"130320 Novo Airão";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;3;1,5;-;-
"130340 Parintins";1;1;177,07;152,97;-;-;24,10;-;-;177,07;177,07;5;5,0;-;-
"130390 São Paulo de Olivença";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"130440 Urucurituba";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;9;3,0;-;-
"140010 Boa Vista";6;6;3167,85;2938,81;-;-;229,04;-;-;527,98;527,98;11;1,8;-;-
"150010 Abaetetuba";14;14;6649,69;6304,58;-;-;345,11;-;-;474,98;474,98;48;3,4;1;7,14
"150013 Abel Figueiredo";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150020 Acará";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"150030 Afuá";4;4;2020,76;1917,92;-;-;102,84;-;-;505,19;505,19;14;3,5;-;-
"150034 Água Azul do Norte";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;8;2,7;-;-
"150040 Alenquer";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150080 Ananindeua";37;37;18376,38;17425,11;-;-;951,27;-;-;496,66;496,66;126;3,4;-;-
"150085 Anapu";5;5;2483,95;2355,40;-;-;128,55;-;-;496,79;496,79;11;2,2;-;-
"150090 Augusto Corrêa";14;14;6876,66;6516,72;-;-;359,94;-;-;491,19;491,19;39;2,8;-;-
