"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"110037 Alto Alegre dos Parecis";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110002 Ariquemes";4;4;1174,95;1100,29;-;-;74,66;-;-;293,74;293,74;10;2,5;-;-
"110045 Buritis";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;3;3,0;-;-
"110004 Cacoal";12;12;5502,36;5207,93;-;-;294,43;-;-;458,53;458,53;30;2,5;-;-
"110070 Campo Novo de Rondônia";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"110005 Cerejeiras";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"110006 Colorado do Oeste";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;10;2,5;-;-
"110010 Guajará-Mirim";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;6;3,0;-;-
"110011 Jaru";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110130 Mirante da Serra";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110014 Nova Brasilândia D'Oeste";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;9;4,5;-;-
"110020 Porto Velho";7;7;14274,04;12805,87;-;-;1468,17;-;-;2039,15;2039,15;59;8,4;-;-
"110028 Rolim de Moura";8;8;3921,92;3716,24;-;-;205,68;-;-;490,24;490,24;18;2,3;-;-
"110029 Santa Luzia D'Oeste";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;2;2,0;-;-
"110030 Vilhena";5;5;4420,78;4021,03;-;-;399,75;-;-;884,16;884,16;17;3,4;-;-
"120020 Cruzeiro do Sul";1;1;496,87;467,47;-;-;29,40;-;-;496,87;496,87;2;2,0;-;-
"120050 Sena Madureira";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"120060 Tarauacá";3;3;1469,57;1392,44;-;-;77,13;-;-;489,86;489,86;6;2,0;-;-
"120070 Xapuri";1;1;527,19;501,48;-;-;25,71;-;-;527,19;527,19;6;6,0;-;-
"130050 Barreirinha";2;2;1006,38;954,96;-;-;51,42;-;-;503,19;503,19;6;3,0;-;-
"130063 Beruri";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130090 Canutama";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"130130 Codajás";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"130165 Guajará";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"130170 Humaitá";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;12;6,0;-;-
"130260 Manaus";27;27;14929,28;14154,08;-;-;775,20;-;-;552,94;552,94;78;2,9;-;-
"130270 Manicoré";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"130290 Maués";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;2;2,0;-;-
"130320 Novo Airão";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"130340 Parintins";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"130353 Presidente Figueiredo";2;2;1070,38;1018,96;-;-;51,42;-;-;535,19;535,19;14;7,0;-;-
"130380 São Gabriel da Cachoeira";1;1;44,22;33,34;-;-;10,88;-;-;44,22;44,22;16;16,0;-;-
"140010 Boa Vista";4;4;1306,98;1222,04;-;-;84,94;-;-;326,75;326,75;6;1,5;-;-
"150010 Abaetetuba";6;6;3027,14;2872,88;-;-;154,26;-;-;504,52;504,52;19;3,2;-;-
"150013 Abel Figueiredo";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150050 Almeirim";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"150060 Altamira";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"150070 Anajás";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150080 Ananindeua";54;54;26789,70;25401,36;-;-;1388,34;-;-;496,11;496,11;161;3,0;-;-
"150085 Anapu";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150090 Augusto Corrêa";13;13;6572,70;6185,83;-;-;386,87;-;-;505,59;505,59;41;3,2;-;-
"150095 Aurora do Pará";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;10;2,5;-;-
"150120 Baião";3;3;1509,57;1432,44;-;-;77,13;-;-;503,19;503,19;9;3,0;-;-
"150130 Barcarena";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"150140 Belém";53;53;27073,24;25660,26;-;-;1412,98;-;-;510,82;510,82;178;3,4;-;-
"150157 Bom Jesus do Tocantins";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;6;2,0;-;-
"150170 Bragança";3;3;1477,57;1400,44;-;-;77,13;-;-;492,52;492,52;9;3,0;-;-
"150172 Brasil Novo";3;3;1469,57;1392,44;-;-;77,13;-;-;489,86;489,86;6;2,0;-;-
"150180 Breves";3;3;1625,75;1537,01;-;-;88,74;-;-;541,92;541,92;16;5,3;-;-
"150190 Bujaru";27;27;13362,13;12667,96;-;-;694,17;-;-;494,89;494,89;80;3,0;-;-
"150230 Capitão Poço";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;10;5,0;-;-
"150240 Castanhal";5;5;2646,87;2510,58;-;-;136,29;-;-;529,37;529,37;26;5,2;1;20,00
"150250 Chaves";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150270 Conceição do Araguaia";16;16;8003,04;7591,68;-;-;411,36;-;-;500,19;500,19;42;2,6;-;-
"150277 Curionópolis";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150280 Curralinho";6;6;2979,14;2824,88;-;-;154,26;-;-;496,52;496,52;19;3,2;-;-
"150293 Dom Eliseu";3;3;1493,57;1416,44;-;-;77,13;-;-;497,86;497,86;7;2,3;-;-
"150295 Eldorado do Carajás";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"150307 Garrafão do Norte";3;3;1493,57;1416,44;-;-;77,13;-;-;497,86;497,86;7;2,3;-;-
"150309 Goianésia do Pará";4;4;2012,76;1909,92;-;-;102,84;-;-;503,19;503,19;20;5,0;-;-
"150310 Gurupá";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;4;2,0;-;-
"150330 Igarapé-Miri";12;12;5942,28;5633,76;-;-;308,52;-;-;495,19;495,19;24;2,0;-;-
"150345 Ipixuna do Pará";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"150380 Jacundá";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150400 Limoeiro do Ajuru";7;7;3616,79;3331,54;-;-;285,25;-;-;516,68;516,68;16;2,3;-;-
"150405 Mãe do Rio";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"150420 Marabá";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"150442 Marituba";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"150445 Medicilândia";3;3;1453,57;1376,44;-;-;77,13;-;-;484,52;484,52;7;2,3;-;-
"150460 Mocajuba";4;4;2036,76;1933,92;-;-;102,84;-;-;509,19;509,19;15;3,8;-;-
"150490 Muaná";9;9;4384,71;4153,32;-;-;231,39;-;-;487,19;487,19;32;3,6;-;-
"150503 Novo Progresso";2;2;966,38;914,96;-;-;51,42;-;-;483,19;483,19;4;2,0;1;50,00
"150510 Óbidos";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150520 Oeiras do Pará";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;5;2,5;-;-
"150540 Ourém";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150543 Ourilândia do Norte";6;6;2915,14;2760,88;-;-;154,26;-;-;485,86;485,86;15;2,5;-;-
"150548 Pacajá";7;7;3498,33;3318,36;-;-;179,97;-;-;499,76;499,76;18;2,6;-;-
"150550 Paragominas";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;5;5,0;-;-
"150563 Piçarra";8;8;3833,52;3627,84;-;-;205,68;-;-;479,19;479,19;16;2,0;-;-
"150565 Placas";1;1;55,27;43,65;-;-;11,62;-;-;55,27;55,27;-;-;-;-
"150590 Porto de Moz";5;5;2419,95;2291,40;-;-;128,55;-;-;483,99;483,99;15;3,0;-;-
"150618 Rondon do Pará";21;21;10294,99;9755,08;-;-;539,91;-;-;490,24;490,24;46;2,2;-;-
"150619 Rurópolis";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"150640 Santa Cruz do Arari";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150660 Santa Maria do Pará";5;5;707,12;637,15;-;-;69,97;-;-;141,42;141,42;6;1,2;-;-
"150680 Santarém";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"150700 Santo Antônio do Tauá";93;93;45180,67;42789,64;-;-;2391,03;-;-;485,81;485,81;394;4,2;-;-
"150715 São Domingos do Araguaia";8;8;3833,52;3627,84;-;-;205,68;-;-;479,19;479,19;17;2,1;-;-
"150720 São Domingos do Capim";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;6;3,0;-;-
"150730 São Félix do Xingu";39;39;18830,36;17827,67;-;-;1002,69;-;-;482,83;482,83;88;2,3;-;-
"150745 São Geraldo do Araguaia";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"150750 São João do Araguaia";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"150770 São Sebastião da Boa Vista";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150795 Tailândia";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;16;8,0;-;-
"150797 Terra Santa";2;2;1030,38;978,96;-;-;51,42;-;-;515,19;515,19;9;4,5;-;-
"150803 Tracuateua";2;2;1046,38;994,96;-;-;51,42;-;-;523,19;523,19;11;5,5;-;-
"150808 Tucumã";55;55;26617,40;25203,35;-;-;1414,05;-;-;483,95;483,95;110;2,0;-;-
"150810 Tucuruí";3;3;1517,57;1440,44;-;-;77,13;-;-;505,86;505,86;10;3,3;-;-
"150812 Ulianópolis";11;11;5455,09;5172,28;-;-;282,81;-;-;495,92;495,92;23;2,1;-;-
"150815 Uruará";13;13;6596,90;6210,03;-;-;386,87;-;-;507,45;507,45;32;2,5;-;-
"150820 Vigia";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;4;2,0;-;-
"150830 Viseu";8;8;3993,52;3787,84;-;-;205,68;-;-;499,19;499,19;22;2,8;-;-
"160020 Calçoene";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"160027 Laranjal do Jari";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;3;1,5;-;-
"160030 Macapá";11;11;5990,16;5641,58;-;-;348,58;-;-;544,56;544,56;67;6,1;-;-
"160060 Santana";1;1;550,54;524,83;-;-;25,71;-;-;550,54;550,54;6;6,0;-;-
"170200 Araguaçu";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"170210 Araguaína";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;5;2,5;-;-
"170220 Araguatins";1;1;582,42;504,07;-;-;78,35;-;-;582,42;582,42;-;-;-;-
"170240 Arraias";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"170950 Gurupi";1;1;499,86;474,15;-;-;25,71;-;-;499,86;499,86;2;2,0;-;-
"171320 Miracema do Tocantins";3;3;1453,57;1376,44;-;-;77,13;-;-;484,52;484,52;3;1,0;-;-
"171420 Natividade";1;1;582,42;504,07;-;-;78,35;-;-;582,42;582,42;2;2,0;-;-
"172100 Palmas";5;5;2543,00;2414,45;-;-;128,55;-;-;508,60;508,60;17;3,4;-;-
"171660 Peixe";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"171820 Porto Nacional";5;5;2459,95;2331,40;-;-;128,55;-;-;491,99;491,99;20;4,0;-;-
"172210 Xambioá";2;2;985,40;933,98;-;-;51,42;-;-;492,70;492,70;4;2,0;-;-
