"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;6;2,0;-;-
"110037 Alto Alegre dos Parecis";5;5;2395,95;2267,40;-;-;128,55;-;-;479,19;479,19;15;3,0;-;-
"110002 Ariquemes";1;1;47,27;35,65;-;-;11,62;-;-;47,27;47,27;-;-;-;-
"110004 Cacoal";9;9;7998,91;7292,92;-;-;705,99;-;-;888,77;888,77;30;3,3;-;-
"110005 Cerejeiras";10;10;4951,90;4694,80;-;-;257,10;-;-;495,19;495,19;25;2,5;-;-
"110010 Guajará-Mirim";5;5;2499,95;2371,40;-;-;128,55;-;-;499,99;499,99;15;3,0;-;-
"110011 Jaru";2;2;110,54;87,30;-;-;23,24;-;-;55,27;55,27;2;1,0;-;-
"110013 Machadinho D'Oeste";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"110130 Mirante da Serra";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110018 Pimenta Bueno";4;4;1932,76;1829,92;-;-;102,84;-;-;483,19;483,19;3;0,8;-;-
"110020 Porto Velho";7;7;7751,83;7029,46;-;-;722,37;-;-;1107,40;1107,40;40;5,7;-;-
"110026 Rio Crespo";1;1;55,27;43,65;-;-;11,62;-;-;55,27;55,27;1;1,0;-;-
"110028 Rolim de Moura";7;7;3121,64;2903,12;-;-;218,52;-;-;445,95;445,95;18;2,6;-;-
"110030 Vilhena";3;3;634,88;586,67;-;-;48,21;-;-;211,63;211,63;5;1,7;-;-
"120038 Plácido de Castro";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;3;1,5;-;-
"120040 Rio Branco";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;11;11,0;-;-
"120060 Tarauacá";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"130010 Anori";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130020 Atalaia do Norte";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"130030 Autazes";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;5;2,5;-;-
"130050 Barreirinha";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"130080 Borba";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"130110 Careiro";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"130250 Manacapuru";3;3;1517,57;1440,44;-;-;77,13;-;-;505,86;505,86;10;3,3;-;-
"130255 Manaquiri";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130260 Manaus";31;31;17865,63;16836,74;-;-;1028,89;-;-;576,31;576,31;91;2,9;1;3,23
"130270 Manicoré";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"130290 Maués";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;5;2,5;-;-
"130320 Novo Airão";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"130330 Novo Aripuanã";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130390 São Paulo de Olivença";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"140010 Boa Vista";4;4;850,30;780,74;-;-;69,56;-;-;212,57;212,57;7;1,8;-;-
"150010 Abaetetuba";9;9;4544,71;4313,32;-;-;231,39;-;-;504,97;504,97;29;3,2;-;-
"150030 Afuá";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"150040 Alenquer";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"150050 Almeirim";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150080 Ananindeua";47;47;23306,34;22097,97;-;-;1208,37;-;-;495,88;495,88;168;3,6;-;-
"150085 Anapu";2;2;998,38;946,96;-;-;51,42;-;-;499,19;499,19;5;2,5;-;-
"150090 Augusto Corrêa";3;3;1461,57;1384,44;-;-;77,13;-;-;487,19;487,19;9;3,0;-;-
"150095 Aurora do Pará";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;7;7,0;-;-
"150120 Baião";5;5;2467,95;2339,40;-;-;128,55;-;-;493,59;493,59;9;1,8;-;-
"150130 Barcarena";1;1;543,19;517,48;-;-;25,71;-;-;543,19;543,19;8;8,0;-;-
"150140 Belém";42;42;21335,47;20234,47;-;-;1101,00;-;-;507,99;507,99;134;3,2;-;-
"150157 Bom Jesus do Tocantins";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150172 Brasil Novo";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"150180 Breves";2;2;1022,38;970,96;-;-;51,42;-;-;511,19;511,19;8;4,0;-;-
"150190 Bujaru";22;22;11440,90;10828,77;-;-;612,13;-;-;520,04;520,04;64;2,9;-;-
"150220 Capanema";1;1;611,37;574,05;-;-;37,32;-;-;611,37;611,37;9;9,0;-;-
"150230 Capitão Poço";4;4;1996,76;1893,92;-;-;102,84;-;-;499,19;499,19;16;4,0;-;-
"150240 Castanhal";4;4;2065,46;1962,62;-;-;102,84;-;-;516,37;516,37;17;4,3;-;-
"150270 Conceição do Araguaia";16;16;8003,04;7591,68;-;-;411,36;-;-;500,19;500,19;42;2,6;-;-
"150275 Concórdia do Pará";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;5;2,5;-;-
"150276 Cumaru do Norte";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150280 Curralinho";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;6;2,0;-;-
"150309 Goianésia do Pará";6;6;3019,14;2864,88;-;-;154,26;-;-;503,19;503,19;30;5,0;-;-
"150310 Gurupá";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150330 Igarapé-Miri";13;13;6477,47;6143,24;-;-;334,23;-;-;498,27;498,27;31;2,4;-;-
"150345 Ipixuna do Pará";5;5;2483,95;2355,40;-;-;128,55;-;-;496,79;496,79;12;2,4;-;-
"150360 Itaituba";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150380 Jacundá";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"150400 Limoeiro do Ajuru";15;15;8340,15;7428,10;-;-;912,05;-;-;556,01;556,01;40;2,7;-;-
"150405 Mãe do Rio";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;4;2,0;-;-
"150442 Marituba";2;2;1182,74;1108,10;-;-;74,64;-;-;591,37;591,37;18;9,0;-;-
"150450 Melgaço";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150460 Mocajuba";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"150470 Moju";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"150490 Muaná";3;3;1461,57;1384,44;-;-;77,13;-;-;487,19;487,19;9;3,0;-;-
"150510 Óbidos";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;8;2,7;-;-
"150530 Oriximiná";4;4;1990,10;1887,26;-;-;102,84;-;-;497,53;497,53;8;2,0;-;-
"150540 Ourém";2;2;1022,38;970,96;-;-;51,42;-;-;511,19;511,19;9;4,5;-;-
"150543 Ourilândia do Norte";4;4;1948,76;1845,92;-;-;102,84;-;-;487,19;487,19;9;2,3;-;-
"150548 Pacajá";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150555 Pau D'Arco";2;2;1061,61;957,55;-;-;104,06;-;-;530,80;530,80;15;7,5;-;-
"150563 Piçarra";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"150570 Ponta de Pedras";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150580 Portel";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150590 Porto de Moz";8;8;3849,52;3643,84;-;-;205,68;-;-;481,19;481,19;20;2,5;-;-
