"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";3;3;1453,57;1376,44;-;-;77,13;-;-;484,52;484,52;6;2,0;-;-
"110037 Alto Alegre dos Parecis";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;9;3,0;-;-
"110002 Ariquemes";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;2;1,0;-;-
"110004 Cacoal";6;6;3156,99;3002,73;-;-;154,26;-;-;526,16;526,16;7;1,2;-;-
"110005 Cerejeiras";8;8;3889,52;3683,84;-;-;205,68;-;-;486,19;486,19;18;2,3;-;-
"110008 Costa Marques";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;3;1,5;-;-
"110094 Cujubim";1;1;582,42;504,07;-;-;78,35;-;-;582,42;582,42;1;1,0;-;-
"110010 Guajará-Mirim";7;7;3466,33;3286,36;-;-;179,97;-;-;495,19;495,19;21;3,0;-;-
"110011 Jaru";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"110012 Ji-Paraná";3;3;1453,57;1376,44;-;-;77,13;-;-;484,52;484,52;6;2,0;-;-
"110013 Machadinho D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110014 Nova Brasilândia D'Oeste";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;8;2,7;-;-
"110015 Ouro Preto do Oeste";2;2;534,46;497,13;-;-;37,33;-;-;267,23;267,23;12;6,0;-;-
"110018 Pimenta Bueno";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;1;0,5;-;-
"110020 Porto Velho";12;12;6040,31;5731,79;-;-;308,52;-;-;503,36;503,36;45;3,8;-;-
"110028 Rolim de Moura";2;2;542,46;505,13;-;-;37,33;-;-;271,23;271,23;2;1,0;-;-
"110032 São Miguel do Guaporé";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"110175 Vale do Anari";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110030 Vilhena";2;2;1006,38;954,96;-;-;51,42;-;-;503,19;503,19;6;3,0;-;-
"120010 Brasiléia";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;7;3,5;-;-
"120020 Cruzeiro do Sul";3;3;1501,57;1424,44;-;-;77,13;-;-;500,52;500,52;9;3,0;-;-
"120033 Mâncio Lima";2;2;998,38;946,96;-;-;51,42;-;-;499,19;499,19;5;2,5;-;-
"120040 Rio Branco";3;3;2046,85;1900,06;-;-;146,79;-;-;682,28;682,28;35;11,7;-;-
"120050 Sena Madureira";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"120060 Tarauacá";3;3;1034,60;972,30;-;-;62,30;-;-;344,87;344,87;6;2,0;-;-
"130010 Anori";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;8;2,7;-;-
"130030 Autazes";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;6;3,0;-;-
"130050 Barreirinha";4;4;1964,76;1861,92;-;-;102,84;-;-;491,19;491,19;12;3,0;-;-
"130080 Borba";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"130090 Canutama";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130120 Coari";3;3;1493,57;1416,44;-;-;77,13;-;-;497,86;497,86;10;3,3;-;-
"130130 Codajás";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130170 Humaitá";3;3;1453,57;1376,44;-;-;77,13;-;-;484,52;484,52;9;3,0;-;-
"130190 Itacoatiara";2;2;1014,38;962,96;-;-;51,42;-;-;507,19;507,19;7;3,5;-;-
"130230 Jutaí";9;9;4464,71;4233,32;-;-;231,39;-;-;496,08;496,08;19;2,1;-;-
