"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"130250 Manacapuru";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"130255 Manaquiri";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"130260 Manaus";112;112;60648,73;57550,54;-;-;3098,19;-;-;541,51;541,51;352;3,1;-;-
"130270 Manicoré";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"130290 Maués";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;3;3,0;-;-
"130340 Parintins";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"130356 Rio Preto da Eva";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;7;7,0;-;-
"130390 São Paulo de Olivença";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"130426 Uarini";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"140010 Boa Vista";9;9;4435,02;4188,13;-;-;246,89;-;-;492,78;492,78;19;2,1;-;-
"140015 Bonfim";2;2;110,54;87,30;-;-;23,24;-;-;55,27;55,27;2;1,0;-;-
"150010 Abaetetuba";15;15;7563,85;7178,20;-;-;385,65;-;-;504,26;504,26;47;3,1;-;-
"150030 Afuá";3;3;1493,57;1416,44;-;-;77,13;-;-;497,86;497,86;7;2,3;-;-
"150034 Água Azul do Norte";2;2;1014,38;962,96;-;-;51,42;-;-;507,19;507,19;7;3,5;-;-
"150040 Alenquer";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;6;2,0;-;-
"150050 Almeirim";1;1;582,42;504,07;-;-;78,35;-;-;582,42;582,42;2;2,0;-;-
"150060 Altamira";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;4;2,0;-;-
"150080 Ananindeua";26;26;12867,35;12198,89;-;-;668,46;-;-;494,90;494,90;106;4,1;-;-
"150085 Anapu";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150090 Augusto Corrêa";8;8;3929,52;3723,84;-;-;205,68;-;-;491,19;491,19;27;3,4;-;-
"150095 Aurora do Pará";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;9;3,0;-;-
"150120 Baião";4;4;1964,76;1861,92;-;-;102,84;-;-;491,19;491,19;9;2,3;-;-
"150130 Barcarena";2;2;1030,38;978,96;-;-;51,42;-;-;515,19;515,19;9;4,5;-;-
"150140 Belém";52;52;29572,72;28003,70;-;-;1569,02;-;-;568,71;568,71;199;3,8;-;-
"150157 Bom Jesus do Tocantins";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"150170 Bragança";4;4;1996,76;1893,92;-;-;102,84;-;-;499,19;499,19;13;3,3;-;-
"150172 Brasil Novo";9;9;4392,71;4161,32;-;-;231,39;-;-;488,08;488,08;20;2,2;-;-
"150180 Breves";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;6;2,0;-;-
"150190 Bujaru";16;16;8051,04;7639,68;-;-;411,36;-;-;503,19;503,19;48;3,0;-;-
"150200 Cachoeira do Arari";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150230 Capitão Poço";7;7;3482,33;3302,36;-;-;179,97;-;-;497,48;497,48;22;3,1;-;-
"150240 Castanhal";5;5;2488,01;2355,59;-;-;132,42;-;-;497,60;497,60;20;4,0;-;-
"150270 Conceição do Araguaia";37;37;18570,03;17618,76;-;-;951,27;-;-;501,89;501,89;105;2,8;-;-
"150275 Concórdia do Pará";3;3;1469,57;1392,44;-;-;77,13;-;-;489,86;489,86;9;3,0;-;-
"150276 Cumaru do Norte";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150277 Curionópolis";4;4;1980,76;1877,92;-;-;102,84;-;-;495,19;495,19;8;2,0;-;-
"150280 Curralinho";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150293 Dom Eliseu";11;11;5455,09;5172,28;-;-;282,81;-;-;495,92;495,92;23;2,1;-;-
"150304 Floresta do Araguaia";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150309 Goianésia do Pará";11;11;5535,09;5252,28;-;-;282,81;-;-;503,19;503,19;49;4,5;-;-
"150310 Gurupá";3;3;1477,57;1400,44;-;-;77,13;-;-;492,52;492,52;8;2,7;-;-
"150330 Igarapé-Miri";14;14;6940,66;6580,72;-;-;359,94;-;-;495,76;495,76;30;2,1;-;-
"150345 Ipixuna do Pará";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;3;1,5;-;-
"150350 Irituia";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150360 Itaituba";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;6;3,0;-;-
"150375 Jacareacanga";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150380 Jacundá";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;8;2,7;-;-
"150400 Limoeiro do Ajuru";16;16;7795,04;7383,68;-;-;411,36;-;-;487,19;487,19;32;2,0;-;-
"150405 Mãe do Rio";8;8;3774,95;3554,02;-;-;220,93;-;-;471,87;471,87;44;5,5;-;-
"150420 Marabá";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"150442 Marituba";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"150445 Medicilândia";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150450 Melgaço";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"150460 Mocajuba";2;2;1006,38;954,96;-;-;51,42;-;-;503,19;503,19;6;3,0;-;-
"150470 Moju";2;2;1006,38;954,96;-;-;51,42;-;-;503,19;503,19;6;3,0;-;-
"150480 Monte Alegre";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"150490 Muaná";5;5;2435,95;2307,40;-;-;128,55;-;-;487,19;487,19;35;7,0;-;-
"150510 Óbidos";7;7;3506,33;3326,36;-;-;179,97;-;-;500,90;500,90;23;3,3;-;-
"150520 Oeiras do Pará";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;11;2,8;-;-
"150530 Oriximiná";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;6;2,0;-;-
"150543 Ourilândia do Norte";21;21;10150,99;9611,08;-;-;539,91;-;-;483,38;483,38;48;2,3;-;-
"150548 Pacajá";6;6;2963,14;2808,88;-;-;154,26;-;-;493,86;493,86;11;1,8;-;-
"150550 Paragominas";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"150563 Piçarra";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;8;2,0;-;-
"150565 Placas";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150570 Ponta de Pedras";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150590 Porto de Moz";18;18;8775,37;8312,59;-;-;462,78;-;-;487,52;487,52;36;2,0;-;-
"150613 Redenção";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150616 Rio Maria";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;5;5,0;-;-
"150618 Rondon do Pará";20;20;9743,80;9229,60;-;-;514,20;-;-;487,19;487,19;41;2,0;-;-
"150619 Rurópolis";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150660 Santa Maria do Pará";5;5;1148,19;1061,91;-;-;86,28;-;-;229,64;229,64;6;1,2;-;-
"150670 Santana do Araguaia";8;8;3833,52;3627,84;-;-;205,68;-;-;479,19;479,19;34;4,3;-;-
"150700 Santo Antônio do Tauá";111;111;54046,09;51192,28;-;-;2853,81;-;-;486,90;486,90;339;3,1;-;-
"150715 São Domingos do Araguaia";6;6;2875,14;2720,88;-;-;154,26;-;-;479,19;479,19;13;2,2;-;-
"150720 São Domingos do Capim";2;2;966,38;914,96;-;-;51,42;-;-;483,19;483,19;4;2,0;-;-
"150730 São Félix do Xingu";9;9;4408,71;4177,32;-;-;231,39;-;-;489,86;489,86;26;2,9;-;-
"150745 São Geraldo do Araguaia";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"150770 São Sebastião da Boa Vista";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150775 Sapucaia";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150780 Senador José Porfírio";1;1;55,27;43,65;-;-;11,62;-;-;55,27;55,27;1;1,0;-;-
"150790 Soure";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;6;2,0;-;-
"150795 Tailândia";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;4;4,0;-;-
"150797 Terra Santa";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;4;2,0;-;-
"150808 Tucumã";27;27;13369,36;12622,55;-;-;746,81;-;-;495,16;495,16;58;2,1;-;-
"150812 Ulianópolis";17;17;8442,23;8005,16;-;-;437,07;-;-;496,60;496,60;37;2,2;-;-
"150815 Uruará";7;7;3355,05;3116,43;-;-;238,62;-;-;479,29;479,29;19;2,7;-;-
"150820 Vigia";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;10;5,0;-;-
"150830 Viseu";4;4;1940,76;1837,92;-;-;102,84;-;-;485,19;485,19;10;2,5;-;-
"150835 Vitória do Xingu";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;3;3,0;-;-
"150840 Xinguara";2;2;542,46;505,13;-;-;37,33;-;-;271,23;271,23;3;1,5;-;-
"160020 Calçoene";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;2;1,0;-;-
"160027 Laranjal do Jari";4;4;1988,76;1885,92;-;-;102,84;-;-;497,19;497,19;10;2,5;-;-
"160030 Macapá";25;25;12177,26;11530,64;-;-;646,62;-;-;487,09;487,09;94;3,8;-;-
"160015 Pedra Branca do Amapari";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;3;1,5;-;-
"160060 Santana";1;1;520,53;494,82;-;-;25,71;-;-;520,53;520,53;4;4,0;-;-
"170070 Alvorada";1;1;519,19;493,48;-;-;25,71;-;-;519,19;519,19;5;5,0;-;-
"170200 Araguaçu";2;2;998,38;946,96;-;-;51,42;-;-;499,19;499,19;5;2,5;-;-
"170210 Araguaína";6;6;2959,84;2805,58;-;-;154,26;-;-;493,31;493,31;13;2,2;-;-
"170230 Arapoema";3;3;1461,57;1384,44;-;-;77,13;-;-;487,19;487,19;5;1,7;-;-
"170550 Colinas do Tocantins";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"170950 Gurupi";1;1;506,21;480,50;-;-;25,71;-;-;506,21;506,21;2;2,0;-;-
"171190 Lagoa da Confusão";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"171320 Miracema do Tocantins";7;7;3479,00;3299,03;-;-;179,97;-;-;497,00;497,00;15;2,1;-;-
"172100 Palmas";6;6;3134,95;2976,82;-;-;158,13;-;-;522,49;522,49;26;4,3;-;-
"171610 Paraíso do Tocantins";1;1;511,19;485,48;-;-;25,71;-;-;511,19;511,19;4;4,0;-;-
"171650 Pedro Afonso";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;1;1,0;-;-
"171750 Pium";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"171820 Porto Nacional";6;6;3036,72;2866,98;-;-;169,74;-;-;506,12;506,12;25;4,2;-;-
"172120 Tocantinópolis";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"172210 Xambioá";2;2;1001,40;949,98;-;-;51,42;-;-;500,70;500,70;4;2,0;-;-
"210005 Açailândia";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"210020 Alcântara";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;7;2,3;-;-
"210030 Aldeias Altas";18;18;9057,42;8594,64;-;-;462,78;-;-;503,19;503,19;54;3,0;-;-
"210047 Alto Alegre do Pindaré";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"210060 Amarante do Maranhão";2;2;998,38;946,96;-;-;51,42;-;-;499,19;499,19;5;2,5;-;-
"210080 Anapurus";4;4;1948,76;1845,92;-;-;102,84;-;-;487,19;487,19;8;2,0;-;-
"210083 Apicum-Açu";5;5;2395,95;2267,40;-;-;128,55;-;-;479,19;479,19;15;3,0;-;-
"210087 Araguanã";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;8;2,0;-;-
"210095 Arame";4;4;2282,45;2021,69;-;-;260,76;-;-;570,61;570,61;10;2,5;-;-
"210110 Axixá";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;5;2,5;-;-
"210120 Bacabal";5;5;2467,95;2339,40;-;-;128,55;-;-;493,59;493,59;9;1,8;-;-
"210150 Barão de Grajaú";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"210160 Barra do Corda";6;6;3050,39;2804,82;-;-;245,57;-;-;508,40;508,40;11;1,8;-;-
"210180 Benedito Leite";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;5;2,5;-;-
"210190 Bequimão";8;8;3961,52;3755,84;-;-;205,68;-;-;495,19;495,19;17;2,1;-;-
"210193 Bernardo do Mearim";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"210200 Bom Jardim";5;5;2395,95;2267,40;-;-;128,55;-;-;479,19;479,19;15;3,0;-;-
"210203 Bom Jesus das Selvas";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"210210 Brejo";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;2;2,0;-;-
"210230 Buriti Bravo";9;9;4456,71;4225,32;-;-;231,39;-;-;495,19;495,19;18;2,0;-;-
"210232 Buriticupu";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"210240 Cajapió";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;6;2,0;-;-
"210270 Cantanhede";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;8;2,0;-;-
"210280 Carolina";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"210290 Carutapera";2;2;1006,38;954,96;-;-;51,42;-;-;503,19;503,19;6;3,0;-;-
"210300 Caxias";1;1;598,44;572,73;-;-;25,71;-;-;598,44;598,44;3;3,0;-;-
"210310 Cedral";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;6;2,0;-;-
"210340 Coelho Neto";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;3;1,5;-;-
"210350 Colinas";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;3;3,0;-;-
"210360 Coroatá";1;1;4435,95;3867,84;-;-;568,11;-;-;4435,95;4435,95;8;8,0;-;-
"210370 Cururupu";6;6;2875,14;2720,88;-;-;154,26;-;-;479,19;479,19;20;3,3;-;-
"210380 Dom Pedro";9;9;4448,71;4217,32;-;-;231,39;-;-;494,30;494,30;17;1,9;-;-
"210390 Duque Bacelar";33;33;16325,27;15476,84;-;-;848,43;-;-;494,71;494,71;66;2,0;-;-
"210407 Feira Nova do Maranhão";3;3;1469,57;1392,44;-;-;77,13;-;-;489,86;489,86;6;2,0;-;-
"210409 Formosa da Serra Negra";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"210440 Gonçalves Dias";7;7;3386,33;3206,36;-;-;179,97;-;-;483,76;483,76;15;2,1;-;-
"210450 Governador Archer";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"210460 Governador Eugênio Barros";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;4;2,0;-;-
"210467 Governador Nunes Freire";13;13;6540,70;6153,83;-;-;386,87;-;-;503,13;503,13;26;2,0;-;-
"210470 Graça Aranha";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;4;2,0;-;-
"210480 Grajaú";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;6;2,0;-;-
"210490 Guimarães";10;10;3054,78;2700,72;-;-;354,06;-;-;305,48;305,48;54;5,4;-;-
"210510 Icatu";13;13;6341,47;6007,24;-;-;334,23;-;-;487,81;487,81;30;2,3;-;-
"210520 Igarapé Grande";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;3;1,5;-;-
"210530 Imperatriz";6;6;5710,36;5217,10;-;-;493,26;-;-;951,73;951,73;58;9,7;-;-
"210535 Itaipava do Grajaú";4;4;2361,68;2048,28;-;-;313,40;-;-;590,42;590,42;4;1,0;-;-
"210540 Itapecuru Mirim";3;3;1536,93;1452,42;-;-;84,51;-;-;512,31;512,31;12;4,0;-;-
"210542 Itinga do Maranhão";10;10;4791,90;4534,80;-;-;257,10;-;-;479,19;479,19;20;2,0;-;-
"210560 Joselândia";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"210570 Lago da Pedra";14;14;6844,66;6484,72;-;-;359,94;-;-;488,90;488,90;17;1,2;-;-
"210600 Lima Campos";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"210610 Loreto";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"210630 Magalhães de Almeida";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;3;3,0;-;-
"210640 Mata Roma";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;3;3,0;-;-
"210650 Matinha";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"210670 Mirador";23;23;11093,37;10502,04;-;-;591,33;-;-;482,32;482,32;99;4,3;-;-
"210700 Montes Altos";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"210710 Morros";3;3;1525,57;1448,44;-;-;77,13;-;-;508,52;508,52;11;3,7;-;-
"210745 Olinda Nova do Maranhão";5;5;2459,95;2331,40;-;-;128,55;-;-;491,99;491,99;10;2,0;-;-
"210760 Palmeirândia";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"210790 Passagem Franca";13;13;6333,47;5999,24;-;-;334,23;-;-;487,19;487,19;30;2,3;-;-
"210800 Pastos Bons";4;4;1940,76;1837,92;-;-;102,84;-;-;485,19;485,19;12;3,0;-;-
"210805 Paulino Neves";6;6;2971,14;2816,88;-;-;154,26;-;-;495,19;495,19;12;2,0;-;-
"210810 Paulo Ramos";3;3;1461,57;1384,44;-;-;77,13;-;-;487,19;487,19;62;20,7;-;-
"210820 Pedreiras";9;9;4392,71;4161,32;-;-;231,39;-;-;488,08;488,08;18;2,0;-;-
"210825 Pedro do Rosário";6;6;2875,14;2720,88;-;-;154,26;-;-;479,19;479,19;16;2,7;-;-
"210830 Penalva";3;3;1485,57;1408,44;-;-;77,13;-;-;495,19;495,19;6;2,0;-;-
"210840 Peri Mirim";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;3;1,5;-;-
"210860 Pinheiro";3;3;1509,57;1432,44;-;-;77,13;-;-;503,19;503,19;9;3,0;-;-
"210870 Pio XII";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;9;3,0;-;-
"210880 Pirapemas";9;9;4432,71;4201,32;-;-;231,39;-;-;492,52;492,52;15;1,7;-;-
"210890 Poção de Pedras";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"210920 Presidente Juscelino";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"210927 Presidente Sarney";9;9;4312,71;4081,32;-;-;231,39;-;-;479,19;479,19;23;2,6;-;-
"210930 Presidente Vargas";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;3;3,0;-;-
"210940 Primeira Cruz";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"210950 Riachão";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"210960 Rosário";8;8;3849,52;3643,84;-;-;205,68;-;-;481,19;481,19;20;2,5;-;-
"210980 Santa Helena";4;4;1980,76;1877,92;-;-;102,84;-;-;495,19;495,19;8;2,0;-;-
"210990 Santa Inês";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;6;1,5;-;-
"211000 Santa Luzia";2;2;998,38;946,96;-;-;51,42;-;-;499,19;499,19;5;2,5;-;-
"211010 Santa Quitéria do Maranhão";7;7;3466,33;3286,36;-;-;179,97;-;-;495,19;495,19;21;3,0;-;-
"211020 Santa Rita";15;15;7307,85;6922,20;-;-;385,65;-;-;487,19;487,19;32;2,1;-;-
"211040 São Benedito do Rio Preto";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;10;2,5;-;-
"211050 São Bento";8;8;3833,52;3627,84;-;-;205,68;-;-;479,19;479,19;16;2,0;-;-
"211070 São Domingos do Maranhão";2;2;1006,38;954,96;-;-;51,42;-;-;503,19;503,19;6;3,0;-;-
"211085 São Francisco do Brejão";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"211090 São Francisco do Maranhão";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"211100 São João Batista";11;11;5271,09;4988,28;-;-;282,81;-;-;479,19;479,19;28;2,5;-;-
"211102 São João do Carú";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"211107 São João do Soter";10;10;5031,90;4774,80;-;-;257,10;-;-;503,19;503,19;30;3,0;-;-
"211110 São João dos Patos";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;1;1,0;-;-
"211125 São José dos Basílios";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;6;3,0;-;-
"211130 São Luís";5;5;2875,66;2663,51;-;-;212,15;-;-;575,13;575,13;30;6,0;-;-
"211140 São Luís Gonzaga do Maranhão";5;5;2395,95;2267,40;-;-;128,55;-;-;479,19;479,19;15;3,0;-;-
"211160 São Raimundo das Mangabeiras";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;3;3,0;-;-
"211163 São Raimundo do Doca Bezerra";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"211170 São Vicente Ferrer";10;10;4502,38;4229,12;-;-;273,26;-;-;450,24;450,24;28;2,8;-;-
"211174 Senador Alexandre Costa";2;2;1022,38;970,96;-;-;51,42;-;-;511,19;511,19;8;4,0;-;-
"211178 Serrano do Maranhão";11;11;5447,09;5164,28;-;-;282,81;-;-;495,19;495,19;22;2,0;-;-
"211180 Sítio Novo";4;4;1948,76;1845,92;-;-;102,84;-;-;487,19;487,19;8;2,0;-;-
