"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"110034 Alvorada D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"110002 Ariquemes";1;1;52,22;41,34;-;-;10,88;-;-;52,22;52,22;1;1,0;-;-
"110004 Cacoal";5;5;2476,95;2348,40;-;-;128,55;-;-;495,39;495,39;10;2,0;-;-
"110005 Cerejeiras";3;3;1453,57;1376,44;-;-;77,13;-;-;484,52;484,52;6;2,0;-;-
"110006 Colorado do Oeste";2;2;1061,61;957,55;-;-;104,06;-;-;530,80;530,80;8;4,0;-;-
"110008 Costa Marques";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;-;-;-;-
"110010 Guajará-Mirim";7;7;3394,33;3214,36;-;-;179,97;-;-;484,90;484,90;18;2,6;-;-
"110011 Jaru";2;2;1006,38;954,96;-;-;51,42;-;-;503,19;503,19;6;3,0;-;-
"110014 Nova Brasilândia D'Oeste";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;11;3,7;-;-
"110018 Pimenta Bueno";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"110020 Porto Velho";14;14;7794,82;7349,75;-;-;445,07;-;-;556,77;556,77;88;6,3;-;-
"110028 Rolim de Moura";2;2;1022,38;970,96;-;-;51,42;-;-;511,19;511,19;9;4,5;-;-
"110029 Santa Luzia D'Oeste";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"110032 São Miguel do Guaporé";3;3;1453,57;1376,44;-;-;77,13;-;-;484,52;484,52;3;1,0;-;-
"110030 Vilhena";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"120033 Mâncio Lima";2;2;982,38;930,96;-;-;51,42;-;-;491,19;491,19;4;2,0;-;-
"120038 Plácido de Castro";2;2;1030,38;978,96;-;-;51,42;-;-;515,19;515,19;9;4,5;-;-
"120039 Porto Walter";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"120040 Rio Branco";1;1;1474,64;1313,33;-;-;161,31;-;-;1474,64;1474,64;5;5,0;-;-
"130010 Anori";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130090 Canutama";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130120 Coari";3;3;1509,57;1432,44;-;-;77,13;-;-;503,19;503,19;9;3,0;-;-
"130140 Eirunepé";2;2;966,38;914,96;-;-;51,42;-;-;483,19;483,19;10;5,0;-;-
"130180 Ipixuna";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130255 Manaquiri";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"130260 Manaus";44;44;23396,65;22174,17;-;-;1222,48;-;-;531,74;531,74;116;2,6;-;-
"130290 Maués";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;3;1,5;-;-
"130340 Parintins";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"130390 São Paulo de Olivença";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"130395 São Sebastião do Uatumã";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
