"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"150095 Aurora do Pará";4;4;1940,76;1837,92;-;-;102,84;-;-;485,19;485,19;19;4,8;-;-
"150120 Baião";4;4;1972,76;1869,92;-;-;102,84;-;-;493,19;493,19;10;2,5;-;-
"150125 Bannach";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"150140 Belém";109;109;66421,32;62467,26;-;-;3954,06;-;-;609,37;609,37;449;4,1;-;-
"150157 Bom Jesus do Tocantins";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150170 Bragança";1;1;555,25;525,67;-;-;29,58;-;-;555,25;555,25;7;7,0;-;-
"150172 Brasil Novo";3;3;1469,57;1392,44;-;-;77,13;-;-;489,86;489,86;6;2,0;-;-
"150180 Breves";4;4;2068,76;1965,92;-;-;102,84;-;-;517,19;517,19;19;4,8;-;-
"150190 Bujaru";16;16;8051,04;7639,68;-;-;411,36;-;-;503,19;503,19;48;3,0;-;-
"150200 Cachoeira do Arari";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
"150210 Cametá";1;1;598,42;520,07;-;-;78,35;-;-;598,42;598,42;2;2,0;-;-
"150230 Capitão Poço";6;6;2947,14;2792,88;-;-;154,26;-;-;491,19;491,19;21;3,5;-;-
"150240 Castanhal";4;4;1980,79;1874,26;-;-;106,53;-;-;495,20;495,20;13;3,3;-;-
"150270 Conceição do Araguaia";27;27;13359,84;12651,88;-;-;707,96;-;-;494,81;494,81;73;2,7;-;-
"150275 Concórdia do Pará";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150276 Cumaru do Norte";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"150277 Curionópolis";2;2;974,38;922,96;-;-;51,42;-;-;487,19;487,19;2;1,0;-;-
"150280 Curralinho";4;4;2004,76;1901,92;-;-;102,84;-;-;501,19;501,19;11;2,8;-;-
"150290 Curuçá";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;6;6,0;-;-
"150293 Dom Eliseu";5;5;2491,95;2363,40;-;-;128,55;-;-;498,39;498,39;11;2,2;-;-
"150295 Eldorado do Carajás";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;4;2,0;-;-
"150309 Goianésia do Pará";5;5;2491,95;2363,40;-;-;128,55;-;-;498,39;498,39;21;4,2;-;-
"150310 Gurupá";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"150330 Igarapé-Miri";19;19;9480,61;8992,12;-;-;488,49;-;-;498,98;498,98;47;2,5;-;-
"150345 Ipixuna do Pará";5;5;2459,95;2331,40;-;-;128,55;-;-;491,99;491,99;9;1,8;-;-
"150380 Jacundá";7;7;3355,33;3175,36;-;-;179,97;-;-;479,33;479,33;20;2,9;-;-
"150390 Juruti";1;1;503,19;477,48;-;-;25,71;-;-;503,19;503,19;3;3,0;-;-
"150400 Limoeiro do Ajuru";41;41;19974,79;18920,68;-;-;1054,11;-;-;487,19;487,19;82;2,0;-;-
"150405 Mãe do Rio";3;3;1461,57;1384,44;-;-;77,13;-;-;487,19;487,19;3;1,0;-;-
"150420 Marabá";4;4;1875,40;1765,33;-;-;110,07;-;-;468,85;468,85;18;4,5;-;-
"150450 Melgaço";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;8;2,0;-;-
"150460 Mocajuba";2;2;1006,38;954,96;-;-;51,42;-;-;503,19;503,19;6;3,0;-;-
"150470 Moju";1;1;559,39;533,68;-;-;25,71;-;-;559,39;559,39;7;7,0;-;-
"150490 Muaná";1;1;487,19;461,48;-;-;25,71;-;-;487,19;487,19;2;2,0;-;-
"150495 Nova Esperança do Piriá";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;1;1,0;-;-
"150503 Novo Progresso";3;3;1453,57;1376,44;-;-;77,13;-;-;484,52;484,52;6;2,0;-;-
"150510 Óbidos";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;3;3,0;-;-
